ECGTimestamps	ECGString	HRTimestamps	HRvalue	OXYTimestamps	PPGvalue	SpO2value
1644347195734	00d117da7fb644520800ad0f001c11004411006512005415005b18001d1a00751b00f01c00401e00681f008b20009621008e22007f23005a2400222500e32500912600382700dd27006e2800f428007c2900f129005a2a00cc2a00302b00862b00e82b003e2c007e2c00c62c00062d002e2d005c2d00842d008e2d00952d00972d00652d00332d00252d000b2d00ec2c00dd2c00cd2c00be2c00b72c00a72c008a2c00742c005a2c003e2c002b2c000c2c00e12b00b82b00902b00652b003c2b00112b00da2a00a12a00682a002f2a00fa2900c629008c2900432900022900dc28009e2800	1644347195683	61	1644347195068	26	100
1644347196278	003cfc3fa1b6445208003f2800fc2700c027006f27002c2700ee2600a726006926001f2600cc2500892500462500fc2400d424009324000b2400b12300862300372300f22200b42200522200f82100c121008521004c2100132100c420006020000f2000d11f00791f00101f00c11e007e1e00321e00ea1d00a81d00601d001d1d00e41c00e41c00811d00431e00461d00781a00cd18008219007a1a00631a00061a00df1900a919005819001c1900ea1800a71800691800301800ed1700ad17007d1700491700081700cf1600961600511600151600ea1500b615008815005d15002b1500	1644347196659	60	1644347195076	26	100
1644347196809	007169a5c2b644520800001500da1400ad14007d1400501400171400d613008a13002b1300cb1200751200141200a811005e11002a1100ee1000bc10009110005d1000301000051000dc0f00b10f00840f00570f002c0f00010f00db0e00b50e008c0e00610e00340e000b0e00e50d00bd0d00940d006b0d00410d00180d00f40c00ce0c00aa0c00890c00600c00380c00170c00f50b00d10b00b00b00930b007c0b006b0b005a0b00360b00fd0a00cb0a00aa0a00860a004f0a001b0a00000a00e60900c00900a109008c09007109005709004209004e0900da0900e80a00090b00e50800	1644347197683	60	1644347195080	25	100
1644347197393	00dc4d0be4b6445208007606009806000e0800720800280800280800280800fb0700d70700c40700b30700a007008d07007807006207004f07004107003307002207001607000a0700fc0600f00600e60600dd0600d60600d30600cf0600cc0600c70600be0600b00600a106008906005e0600280600e70500a905007505004a0500210500050500f20400e10400d30400c20400b10400a504009c04009004008404007304006504005b04005404004b04004104003804002904001d0400140400060400fa0300f00300e40300d60300c80300be0300b50300ab0300a103009603008a0300	1644347198659	62	1644347195082	24	100
1644347197930	0011bb7005b7445208008003007903006f03006603005803004c03004203003b03003403002d03001e0300090300fb0200f80200f30200ea0200e30200d70200cd0200c80200c40200bd0200b50200ac0200a50200a002009902008f02008302007a02007302006b02006702006202005b02005102004a02004102003c02003702003202002b02002602001d02001102000a0200050200fe0100f40100eb0100e40100dc0100d80100d30100cc0100c70100d00100df0100e60100e10100c90100b90100b60100ad01009701008b01008e01008e01008401007d01007b0100820100c00100	1644347199685	64	1644347195088	23	100
1644347198468	007c9fd626b7445208008802008e03003d0300e0000010ffffe9ffff5401006001002201005001005c01004401005201005c01005201005201005901005901005c01006301006301006001006301006801006a01007101007601007b01007d01008401009001009a0100a30100af0100b60100b90100b10100ad0100a601008b01006301003801000d0100e40000c50000b000009f00009800009300009300009600009600009100009300009a00009a00009a00009d00009a00009800009800009800009a00009600009100008f00009100008f00008a0000850000800000800000830000	1644347200706	66	1644347195092	22	100
1644347199052	00b10c3c48b7445208008000007e00007e00007e00007200006100006400006d00006b00006600006600006600006800006800006600006800006800006400006100006100006100006100006100005f00005f00005c00005c00005a00005300004e00004e00004e00004e00005800006600007700008000007900006400005f00006100004e00003d00004500004900004200004200004900004c00004e00006b0000fc00001d02007f02009d00003bfeff39feffafffff5100003d00004e00006600005a00005a00006800006b00006b00007000006d00007000007e0000850000850000	1644347201680	65	1644347195112	21	100
1644347199635	009440a269b7445208008a00008f00009100009800009f0000a90000b20000b50000ae0000b50000c80000d60000e00000e70000e40000e20000db0000c300009600006800003900000e0000f5ffffe6ffffdaffffd3ffffd3ffffd6ffffdaffffe2ffffe9ffffebfffff0fffff2fffff9ffff0000000400000700000700000700000700000700000200000000000200000000000000000200000700000900000b00000b00000900000900000b00000e00001000001500001500001500001500001300001500002600003900004500004700003600002800002a00002600001300000e0000	1644347202654	63	1644347195115	20	100
1644347200171	00515e078bb7445208001300000e00000b0000100000100000130000280000980000aa01007c020020010062feffa0fdff19ffff070000ebfffff0ffff1700000b00000b00002100002300002300002a00002f00003200003900003d00004000004200004500004700005100005500005c00006b00007700007e00008f0000a20000b00000b90000c30000c30000be0000b00000910000660000340000070000e9ffffd3ffffc5ffffbeffffbbffffb9ffffbbffffbeffffc5ffffcaffffccffffceffffd1ffffd8ffffdfffffddffffddffffdfffffe2ffffe4ffffe9ffffe9ffffe9ffff	1644347203773	65	1644347195124	19	100
1644347200756	00bc426dacb744520800e9ffffe6ffffe9ffffebffffebffffe9ffffe2ffffd6ffffccffffccffffd3ffffd6ffffd6ffffd8ffffddffffdfffffdfffffe2ffffe4ffffe6ffffe9ffffe6ffffe9ffffe9ffffe6ffffe4ffffe9ffffe9ffffe9ffffebffffedfffff0fffff2fffff0ffffedffffebffffedfffff0fffff0fffff2fffff0fffff0fffff2fffff2fffff5fffff5fffff5fffff5fffff7fffff7fffff9fffffcfffff9fffff7fffff5fffff2ffffedffffe6ffffe4ffffe6ffffe6ffffe6ffffe9ffffe9ffffe9ffffe9ffffebffffebffffedffffedfffff0fffff7fffffeffff	1644347204654	64	1644347195134	19	100
1644347201341	004713d3cdb7445208000b0000150000070000f7fffff9fffff2ffffe4ffffdfffffe4ffffe6ffffe2ffffd6ffffd6ffffebffff4500002e01001d02004d0100b3feff6efdffc6fefffcffffdaffffc3fffffefffff9ffffedffff0200000900000700001000001500001700001e00002600002800002d00003400003900004200004900005100005a00006100006d00007e00008a0000910000980000a40000ab0000b00000ae0000a200008c00006b0000400000150000f5ffffd6ffffc0ffffb7ffffafffffa8ffffa4ffffa4ffffa8ffffafffffb2ffffb7ffffbbffffbeffffc3ffff	1644347205675	63	1644347195146	18	100
1644347201828	005c9438efb744520800c7ffffc7ffffcaffffccffffccffffccffffccffffc7ffffc5ffffc7ffffc5ffffc7ffffcaffffc7ffffbbffffb2ffffb7ffffbeffffbeffffc0ffffc3ffffc3ffffc3ffffcaffffccffffccffffceffffccffffccffffd3ffffd6ffffd6ffffd8ffffd8ffffd6ffffdaffffdfffffddffffd8ffffd1ffffd1ffffd3ffffd6ffffd8ffffdaffffd8ffffd6ffffd8ffffdaffffddffffddffffdfffffddffffdaffffdfffffe2ffffe2ffffdaffffceffffccffffd1ffffccffffcaffffceffffceffffccffffd1ffffd3ffffd3ffffd3ffffd1ffffccffffccffff	1644347206700	62	1644347195159	17	100
1644347202412	00c7789e10b844520800d3ffffd6ffffd6ffffd6ffffd1ffffc5ffffc5ffffd1ffffddffffebfffff9ffff000000f0ffffe2ffffe4ffffe2ffffd1ffffccffffd1ffffd1ffffd3ffffd6ffffd8ffffe9ffff3900001901000a02005c0100e5feff84fdffa7feffe9ffffe2ffffc3fffffcffff000000edfffffcffff0700000400000b00001500001700001700001c00002300002800002d00003600003b00003900003900004700005500005c00006800007400008000009100009a0000a20000a200009d00008f00007b00005c00003400000b0000e6ffffc7ffffb7ffffadffffa6ffff	1644347207772	65	1644347195167	16	100
1644347203044	00fce50332b844520800a6ffffa8ffffa8ffffa8ffffb2ffffb9ffffbbffffb9ffffafffffadffffb7ffffbbffffbeffffbeffffbbffffb9ffffb9ffffb9ffffbbffffbbffffb7ffffb4ffffb4ffffb7ffffb9ffffb9ffffb9ffffb7ffffb7ffffb9ffffbeffffbeffffbeffffc0ffffc3ffffc0ffffc0ffffc0ffffbeffffb7ffffb2ffffb9ffffbeffffb7ffffabffffabffffafffffafffffb2ffffb9ffffb9ffffb9ffffbbffffb9ffffb9ffffb9ffffbbffffbbffffbbffffc0ffffc7ffffc7ffffc7ffffcaffffccffffccffffccffffccffffd8ffffe6fffff7fffffefffff2ffff	1644347208650	65	1644347195178	15	100
1644347203631	0067ca6953b844520800e4ffffe4ffffdfffffccffffc5ffffcaffffcaffffc7ffffceffffd3ffffddffff230000fa0000fb010078010012ffff86fdff5ffeff9fffffceffffb7ffffd8ffffe4ffffddffffe6fffff0fffff0fffff7fffffeffff0200000400000b00001000001500001a00002100002300002600002d00003b00004700005300005f00006b00007700008000008500008a00008c00008700007900006400003b00000b0000e6ffffc3ffffa6ffff95ffff8effff89ffff87ffff87ffff89ffff8effff95ffff9cffff9cffff9cffff9fffff9fffffa1ffffa6ffffa6ffff	1644347209674	65	1644347195181	15	100
1644347204069	009c37cf74b844520800a4ffffa6ffffa4ffffa1ffff9fffffa1ffffa1ffff9cffff8cffff80ffff89ffff90ffff8effff8effff89ffff82ffff8cffff95ffff90ffff98ffffa4ffffa8ffffb4ffffc0ffffb4ffffa6ffffadffffa6ffff90ffff8cffff93ffff98ffff9cffffa1ffffa4ffffadfffff2ffffd60000f701007b0100eefeff46fdff3efeff9fffffceffffb4ffffdaffffe2ffffd8ffffebfffff7fffff7fffffcffff0000000400000b00001300001a00002100002600002a00003600004000004700005300005f00006800007400008300009100009f0000a40000a60000	1644347210649	64	1644347195190	14	100
