ECGTimestamps	ECGString	HRTimestamps	HRvalue	OXYTimestamps	PPGvalue	SpO2value
1644916530782	00a484565d1e445208003000002900002600002100001500000c00000200000400001800001a00001500001f00002400003000009b00007501004a02007b02004401001dffff47feff13ffffb3ffffedffff2e00004100003500003700004100005000005c00005e00005900005400005e00006a00006300005c00007400009100009100008f00009b0000a40000ac0000bf0000d00000da0000da0000df0000e30000da0000c200009d00007900006100004b0000260000070000fefffffefffff9fffff2fffff4ffff000000070000090000130000070000f9ffff0c0000240000240000	1644916531185	68	1644916530706	72	98
1644916531413	00e301c37e1e445208001d00002400002600002100002900002e00002900002e00002e00001500001300002400003000002b00001d00001500001a00002600002b00002900002b00003000002e00003000002900002100002900002e00002600002600002b00002e00002600002400002600002600001f00001d00001d00001a00001d00003200005400005700003c00002b00003500003c00003200002e00003000002e00002900003000003c00003c00002e00002900003a00009600005a01001702005e02009401008cffff4efeffeefeffaeffffe8ffff2e00004600003000003f0000	1644916532178	67	1644916530717	78	98
1644916531912	00ea072fa01e445208005900004d00004600005900006100006100006100006100006800006f00007400007e00008500008c0000a00000ae0000b30000bd0000c40000c60000cb0000d00000d50000d70000c200009b00007e00006a00004b0000210000020000fcffff020000020000fefffff7fffffeffff1500001500000900001300001800000e00001f00003500002900001f00003200003c00003200003700003f00003200003500004300003000002100003000002b00001f00002e00003500002400002400003700003c00003200002b00003000003f00003c00002b00002e0000	1644916533166	66	1644916530718	83	98
1644916532494	0027859bc11e445208003a00004300004100003200002900002e00003f00003a00002900002100001f00002e00003200001d00001500002100002400001f00001d00002600002400001a00001500001300001000001d00003a00004800004800004300003a00002400001500002400003000002400002100003000003000002900002900002900002e00007600003301000b0200740200a3010082ffff39feffddfeff9fffffcbffff0400002b00002600002e00002900002900003c00004100003500003200003a00004100004d00005400005200005400006100006a00007400007b0000	1644916534156	66	1644916530720	87	98
1644916533035	002e8b07e31e445208008700009b0000b10000ba0000bf0000c20000bd0000b50000a20000800000630000540000370000070000e6ffffdcffffd2ffffc9ffffd0ffffd7ffffd0ffffd0ffffdfffffdfffffd5ffffe6fffffcfffffcfffff4fffff7fffffcffff0000000400000700000900001300001500000c00000700000c0000000000f2fffffcffff0c00000900000900000e0000040000f4fffff9ffff0e00001a00001800000700000200000e00001500001000000700000000000c0000210000130000020000100000130000fcffffedfffff9ffff1d0000320000260000100000	1644916535199	66	1644916530728	90	98
1644916533574	00359173041f445208000e00001000000200000000000c00000c0000040000feffff070000130000fcfffff0ffff020000320000c20000ca01009d02005b02006f00005bfeff4afeff29ffff7effffd7ffff2b00001f00001800003000003000003200003f00003f00003c00003c00003a00003f00004d00005900005c00006300007100008000008a0000980000ac0000bd0000c90000da0000e10000d50000ce0000d00000b800008700006800004b00001f0000070000000000e6ffffdaffffebfffff0ffffedfffff7fffff9fffff4fffffeffff0900000900001800002600001f0000	1644916536181	66	1644916530750	92	98
1644916534116	003c97df251f445208001a00002600002b00002e00003700003a00003500002b00002100002900003000002900002600002600002900003000003000003000003200003200003000002b00002100001d00001f00002600002400001d00001800001a00001300001500002600003000003000003500003700002400001800001d00002100002900002100001300001500002400002e00002b00001f00001f0000570000fc0000e701008e02003702004b00005ffeff81feff7effffdaffff0700004300004d00003f0000430000480000500000630000650000570000540000680000740000	1644916537172	66	1644916530751	93	98
1644916534835	0023b14b471f445208006800006d00008700008f00007e00008000009d0000b10000ae0000ba0000df0000eb0000d70000d00000da0000ce0000a900008700006a00004600001d0000fefffff0fffff2fffffcfffff7fffff2fffffeffff020000fcfffffeffff0900001300001500001800001800002100002e00003200002600002600003c00004800003f00003a00003a00003a00003a00003000002e00003700003f00004600004300003a00003c00004100003700003000003500003a00003a00003a00004300004d00004600003500003000003700003c00003700003000002e0000	1644916538160	67	1644916530762	93	98
1644916535289	00821ab8681f445208003000003700004600005200004b00003c00003200002900001f00002100002600002100001800001500001800001a0000150000130000210000460000cb0000b601006502000e020037000051feff5ffeff63ffffc9fffff7ffff3000002b00002100003200003c00004100004600003c00002e00003a00006100007600006a00005700006100007400007b0000800000980000b50000ba0000bf0000d70000e10000da0000dc0000e10000c90000a200009600008700005900002e00001f00000c0000f4fffff2fffff7fffff9ffff000000040000040000020000	1644916539151	66	1644916530774	92	98
1644916535827	008920248a1f445208000200000700000e00001a00002100001500001000001a00001d00001f00002400001f00001d00001f00001f00002600002e00002900002100002600002e00002400001500002600003f00003200001d00001d00001a00001f00002b00002b00002100001a00001300002600003700002400001d00003200003500001f00001800002600003000002600001f00002900003000002600001f00002100001800001000001f00002900001800000400001300003200003500002900002e00002100001000001000000900000400000e0000020000f0fffffeffff150000	1644916540141	66	1644916530796	91	98
