ECGTimestamps	ECGString	HRTimestamps	HRvalue	OXYTimestamps	PPGvalue	SpO2value
1644863987335	00e314dd28de455208007e3600e43a008541006e44005046003649002e4b006b4c00d04c00d04c00d04c00d04c00d04c00d04c00d04c00d04c00d04c00d04c00d04c00d04c00d04c00d04c00d04c00d04c00d04c00d04c00d04c00d04c00d04c00d04c00d04c00d04c00d04c00d04c00d04c00d04c00d04c00d04c00d04c00d04c00d04c00d04c00d04c00d04c00d04c00d04c00d04c00d04c00d04c00d04c00d04c00d04c00d04c00d04c00d04c00d04c00884c00614c00c84b00304b00054b00c24a003e4a00dc4900964900334900d148009548003c4800bd47004f4700ef4600934600	1644863987481	67	1644863986595	20	99
1644863987873	004ef9424ade455208005a4600254600be45003e4500de44007c4400214400cd4300574300e942009942003c4200004200d941005041009c40004b40000f4000dc3f005e40003641002341009c3f00ed3c00203b00c33b00c43c007a3c00fa3b00cd3b00823b00223b00e23a00863a00113a00bd39007539002a3900e93800893800253800e93700ad37006737001d3700c43600723600253600dd35009f3500503500d03400513400fd33009d33001b3300b232006032000c3200b631004c3100ff3000be3000663000203000d62f008e2f005b2f000c2f00ba2e00832e003b2e00e92d00	1644863988502	67	1644863986605	20	99
1644863988410	008366a86bde45520800a62d00682d001d2d00d12c00902c004a2c00092c00c12b00612b00312b00102b00a12a00382a00fc2900bb29007729003e29000b2900c128006f2800362800f52700b727008227003a2700f42600b32600812600532600092600d225009625004225000a2500df2400aa24006e2400262400ed2300b12300702300422300172300e72200982200612200592200312200ed2100a521005621001c2100e02000b520009620005a20001e2000f01f00b71f00891f00631f00331f000f1f006f1f00722000fb2000172000bf1d007e1b00991b00f51c00441d000d1d00	1644863989428	67	1644863986615	19	99
1644863988998	00b8d30d8dde45520800081d00df1c009c1c00781c005b1c002b1c00111c00f91b00ae1b007a1b005f1b00361b001a1b00021b00e51a00c11a009a1a008c1a006d1a00441a00221a00e11900ad1900891900451900051900cb18008a1800511800211800f51700c11700951700761700441700291700201700f21600c91600a816008d16007a16005116002b16000e1600f11500d41500ac15009115007915005015003115000b1500e71400d31400b214008e14006c14004b14003314000f1400ed1300d71300bd1300a51300861300621300451300281300171300fd1200d91200c61200	1644863990452	67	1644863986628	19	99
1644863989626	00ed4073aede45520800a412008512006d1200501200381200191200fc1100e41100be1100a611009511007111006211006211004f1100221100f21000de1000c41000a210009410007e10006e10005a10003e10002d1000151000021000fa0f001a1000dc1000f511002c1200ac1000050e00a40c00a70d00da0e00fc0e00f00e00050f00ed0e00c70e00c70e00b90e009c0e00990e008b0e00780e00670e00590e00540e00480e00410e003e0e002b0e00260e00210e00150e00090e00ed0d00d70d00ba0d008f0d006b0d00340d00010d00e20c00b20c00950c00800c00630c00520c00	1644863991429	67	1644863986637	19	99
1644863990066	005825d9cfde45520800440c003a0c002c0c001b0c001b0c00110c00000c00fc0b00e80b00df0b00d50b00c20b00bb0b00aa0b00970b00810b006c0b00640b00580b00450b00370b001f0b000e0b00f80a00e00a00d70a00c60a00ba0a00b00a00a00a009b0a008f0a007c0a00720a00630a005f0a00550a00420a003b0a002c0a001e0a00140a00060a00030a00f70900e70900df0900c50900b70900ab09009509009009009509009f0900a609008b09006a09004d09003f09003709002709001f09001b09000c0900070900f70800eb0800eb0800da0800e108004b0900500a00540b00	1644863992453	67	1644863986647	19	99
1644863990698	008d923ef1de45520800260b00410900b60600320600b507007508004308005108006708004f08004508004708004508003e08003e08003208001f08002808002808002608002f08002d08003408003908003b08004308003908002f08002608000b0800f60700d90700b707009607006d07005507003d07002507001b0700080700010700fe0600f50600f70600f20600f00600f20600e90600e40600e20600d80600d60600cc0600ca0600ca0600bb0600bb0600b20600a60600a606009c06009206008606007806007806006a06006206006206005406005206004d0600430600430600	1644863993428	67	1644863986654	19	99
1644863991234	00c2ffa312df455208003a06003206002e06002406002606001d06001106000c0600f90500f40500ef0500ea0500ea0500d50500c40500bf0500ba0500bd0500b30500a505009e05009205008f0500940500a20500bd0500b80500a205008a05007a05007c05007205006605006b05006205006205006205005a0500560500470500450500640500fb0500270700e70700420700060500e302003c0300c50400250500fa04001505002505001205001005001c05001205001005001905001205001705001905001705001e05002305002f05003b05003905004205004205003e05003b0500	1644863994449	67	1644863986666	19	99
1644863991771	002de40934df45520800250500120500ff0400e50400cd0400a604008c04007604005e04005904004904003504003504002e04003104003a04003a04003d04003d04004104004104003a04003f04003f04003804003a04003304003304003104002004001d04001604001104001604000a0400050400fe0300f70300fc0300f50300f70300f90300eb0300e90300e40300e60300ed0300df0300d80300d80300d50300d80300cc0300cc0300c70300b60300b90300b60300af0300af0300a50300a50300a30300a10300a503009503008903008903007f03007d03007803007f0300950300	1644863995424	67	1644863986682	19	99
1644863992404	0062516f55df455208009e0300a303009003007503007503006e03006703006003004f03005b03006003005603005603005603005603004f03007103002704004a0500e60500010500a00200d00000650100de02003e03001f03004a03005403003703004103004d03004a03004a03004803004f03004f03004f03005b03005d03006703006e03006e03008103008b03008b03009203008903007a03006c03005d03004d0300260300090300f40200d70200cb0200ba0200ae0200a20200910200940200980200a50200b10200a50200a90200b10200ac0200b50200b10200a70200ae0200	1644863996448	67	1644863986686	19	99
1644863992892	0097bed476df45520800ac0200a90200a50200a20200a502009402008f02009802009402009802009402008502008002008002008c02008a02007402006d02006d02007402007402006d02006d02006402006102006402005802006102006402005802005c02005c02005c02005c02005802005802004e02004e02005802004902004902005c02007002008302007402005a02004c02004702004c02004402004402004c02004002003602003b02003d02004402003b0200490200c40200da0300d904007d04007402001c0000d0ffff5401002502001702004002005502004002004c0200	1644863997423	67	1644863986690	19	99
1644863993427	00cc2b3a98df455208005502004e02004902004902005302005002005802005802005002006102006b02007402008c02009102009802009d02009602009402008502007402006402004202002a0200120200fc0100ee0100d60100d10100cf0100ca0100ca0100c80100cf0100d80100d40100db0100e00100e40100e90100e20100e70100e70100e70100f00100e20100d40100d40100d60100d80100cf0100cc0100cf0100c30100c80100ca0100c30100ca0100c50100c00100c30100c30100ca0100c50100c00100c30100bc0100bc0100b40100b20100bc0100ad0100a80100b00100	1644863998447	67	1644863986711	19	99
1644863994062	0058fc9fb9df45520800ab0100b00100b00100a80100a101009001009801009801008701009001009c0100b00100ca0100c50100b201009f01009c0100a101009801009f01009f01009501009f01009c01009a01009f01009501009a0100e90100dc02000f0400500400dc02003c00000effff6000008c01007801006f01009801009a01008e0100980100a101009c0100a40100ab0100ab0100b70100bc0100c30100cf0100d40100e70100f50100fc01000b0200060200040200060200f50100e90100d10100b90100a401008401007101005c01004401004401003c01003c01003f0100	1644863999423	67	1644863986714	18	99
1644863994599	006c7d05dbdf455208003a01003f01004101004b01005901005201005901005e01005701005e01005e01005e01006001005401004b01004401004401004401003c01004401003c01003801004401003f01003c01004401003c01004101003f01003f01004101003501003501003501002e01003801003001002c01003001002c01003001003501003301003501002e01003301003501003301003a01002e01002c01003501002e01002c01002901002201002701003301004b01005e01005e01005001003501003001003301002901003001003301002c0100350100300100300100350100	1644864000448	66	1644863986741	19	99
1644863995134	00a1ea6afcdf455208002e01003301006c01004202007a0300ed0300c10200340000b3feffc7ffff0c01000c0100fc00002901002e01002001002e01003801002e01003a01004401004401005001004d01004d01005c01006801007801008201008e01009801009801009f01009f01009001008701006a01005401004401002201000c0100f40000e40000df0000d50000da0000da0000d80000e10000e10000e80000f70000f20000f90000f90000f40000fc0000fc0000fc0000000100fc0000fc0000f40000f90000fe0000f40000f70000f40000eb0000f00000eb0000ed0000eb0000	1644864001421	66	1644863986750	18	99
1644863995718	000ccfd01de045520800e40000e60000df0000dc0000e10000da0000dc0000d30000c70000d50000d50000d00000d50000d00000d50000d30000ce0000ce0000c90000d00000d00000cc0000d50000d30000d00000d50000d50000da0000d80000d50000d50000cc0000cc0000c90000c40000ce0000df0000f90000050100f20000e40000d80000d30000d50000d00000d50000d50000d00000da0000d50000d80000dc0000d00000e600006c01008a0200690300f40200f00000b8feffa4feff340000da0000b60000d30000e40000d80000dc0000eb0000eb0000e40000ed0000f20000	1644864002447	66	1644863986759	18	99
1644863996255	00413c363fe045520800f00000fc0000fe00000c01001801001b01002e01003501003001003a0100380100290100240100200100140100f40000e60000d50000b60000a800009900008b00008400006e00006e00007a00007500007800008100008d00009700009700009e0000970000920000a00000a30000a30000a80000a50000a300009e0000a30000a500009200009000009700009900009200008400008d00009900009000009200008800007c00008800009000008d00008b00009000009700008d00009200009400008b00009400009700009200009900009700009c00009c0000	1644864003518	66	1644863986767	17	99
1644863996840	0076a99b60e0455208009400009200008b0000900000920000880000900000840000780000940000b10000c00000b100009200008b00008800008b00009000008d00009400009200008d00009400009700009c00009e0000b600005901008002003e03008802003e000031feff79fefffeffff900000840000ac0000bd0000a30000b10000bb0000b60000c00000c20000c20000c00000c90000d80000d80000e40000f20000f700000c01001401001601001d01001601000f0100000100f00000e10000c20000a500008d00007500006900005600004500004a0000450000450000450000	1644864004443	67	1644863986771	17	99
1644863997377	00e18d0182e0455208004f00006000006000006200006700006000006c00007000007000007500006c00006200006400006900006c00006000006000006400006200006700006200005b00006200005800005800005d00005800005800005b00005d00006000005b00006200006000006000006900006000005d00006000005d00006400006700006400006700006200006900006c00006c00006e00006400006900006900006000006200006200006e0000880000990000a300008600006400006400006000006200006700006400006c00006c00006c00006c00006700006e0000750000	1644864005467	67	1644863986773	16	99
1644863997961	0016fb66a3e045520800c70000c30100dc0200110300900100f8fefffafdff45ffff5400004f00004c00007500006c00006400007a00007a00007f00008800008b0000920000920000970000a80000af0000c00000c90000ce0000df0000e10000e80000f00000e40000d80000c70000b40000a300008600007000005800004300003c00003000002d00002d00002600002d00003000003700004300004300004a00005100004a00004a00004a00005100005600005400005b00005800005100005100004a00004a00004a0000400000480000450000400000450000400000480000450000	1644864006442	66	1644863986780	16	99
1644863998593	004b68ccc4e0455208004000004800004800004c00004a00004500004f00004a00004a00005400004800003c00003e00004500004a00004300004a00004f00004800004a00004a00004c00005100004500004500004000004300005800006c00008400008600006e00006200005b00005b00006000005600005b00006000005d00006400006200006200006200006000009900005701007e0200090300ec01007cffffe9fdffcdfeff3700005600003700006900006e00006200006c00007300007500007300008100008600008600009400009700009e0000af0000b60000c70000d00000	1644864007466	66	1644863986796	15	99
1644863999034	00b64c32e6e045520800da0000e10000dc0000dc0000d50000c20000b400008d00005b00004000002b0000180000070000fefffff7ffffedfffffeffff0700000000000e00001500001a00002400002600003000003200003200003900003400003900003e00003900003c00003200002d00002d00002800003000003000002100001c00001c00002400002100001f00002800002600002400002800002400002b00003000002d00002b00002600003000003900003400003700003400003700003900003400003e00003e00003400003e00003e00003c0000390000370000370000280000	1644864008441	66	1644863986805	16	99
