ECGTimestamps	ECGString	HRTimestamps	HRvalue	OXYTimestamps	PPGvalue	SpO2value
1644310665769	0033906839e144520800321200911b004e1f004b2300d427007e2a00972c00fd2e00f730007b3200e433004e3500783600393700063800e13800723900003a00a83a001a3b00703b00d53b00203c005a3c00a23c00d53c00ef3c000c3d00243d00303d004b3d00593d004d3d00483d00463d00333d001f3d000f3d00e33c00ac3c009b3c00803c003d3c00363c003b3c00e63b00993b00583b00fa3a00d13a00ad3a003e3a00f13900dc39009639003d39000a3900bd3800583800193800da3700eb3700273900e03a002a3b00663800903300b83100cf3300cc3400063400ee3300e43300	1644310665276	66	1644310665123	68	99
1644310666352	00c060ce5ae1445208006233001f3300e532006a32003032000f32008031000a3100063100c23000173000be2f00a62f00562f000e2f00ea2e00a42e00552e00142e00c42d006b2d00102d008b2c00f12b006c2b00e12a003a2a00922900fc2800842800302800e02700762700222700ed26009d2600382600eb2500a52500472500ee2400ad24007324003a2400ef23009623003f2300f02200a52200612200062200a62100712100372100de2000762000222000ea1f00b11f00441f00df1e00a31e00581e00041e00ca1d00841d002d1d00f41c00c61c00791c00331c00ed1b00811b00	1644310666250	66	1644310665129	73	99
1644310666941	002b45347ce1445208002a1b00081b00da1a00881a00391a00ff1900bc19006719003019001a1900051900e11800a91800331800c417009417005d1700061700d31600aa16006516003016000e1600d215008715005715002b1500f91400221500401600df17008018007516001a1200f00f00c81100361300be1200931200b712007612004112002b1200e51100ab11009811007411005511003f1100161100f21000d71000ae10009b1000a210009910007710005a1000471000311000031000cc0f00a10f005b0f00e70e00710e00160e00c10d006f0d002c0d00f00c00c90c00b10c00	1644310667224	66	1644310665145	78	99
1644310667423	0096299a9de1445208008f0c00720c005a0c003d0c001e0c00fc0b00e40b00d10b00b40b00a10b008e0b00690b00480b002d0b001f0b00040b00cd0a00a90a009d0a00870a00650a00440a00240a00000a00e60900d50900ba09009d09008009005a09003309002209001609000a0900f00800bd0800aa0800aa08009408007308005b0800560800420800010800e70700ff0700e90700be0700b20700a107007d07006007006007007107007d07007b07004d0700fd0600e50600f40600c806008006008006009d06008c06007606007606005e0600330600270600290600570600410700	1644310668298	65	1644310665156	83	99
1644310668012	00010e00bfe144520800e10800fb09001e09009e05006602003503005a05007205002005007c05008505004205004005005305004205003405003405003805004705005105003b05001e05002505003d05004905005a05007505007e05008105008d05008505006405003d0500140500df0400950400480400090400d60300a903008203007403007403007403005903004103004d03006503006003004803004103004b03004b03003503002603003503004103002b03001303001603001a0300180300130300f90200e50200ef0200ef0200d50200c40200bf0200b50200ae0200ae0200	1644310669225	65	1644310665161	88	99
1644310668546	006af265e0e144520800a70200a90200ac02009b02008502007b02007402006802006d02005f02004202004202004602003f02003d02003d02003a02003802002c02002502002702002002001102000f0200080200f50100f201000d0200270200360200360200190200f90100f90100010200df0100bb0100c20100d50100d30100ce0100cc0100c20100c20100c40100bd0100fc0100110300d30400df05009e0400cc000007feff72ffff8601006e0100400100aa0100a70100830100970100a50100a50100a70100a70100af0100bd0100c70100cc0100d80100e40100eb0100010200	1644310670253	66	1644310665166	93	99
1644310669128	00a15fcb01e2445208001b02002c02004602005f02006b02006b02005a02003802000f0200dc01009b01005d0100230100ec0000be0000a300009a00009500009500009700009c0000a60000af0000ad0000a80000b90000cc0000ca0000c00000ca0000d80000db0000d60000d60000d30000d10000cf0000c50000b70000af0000b40000bb0000b70000b70000b20000a80000a80000a80000a10000a60000a600009e00009e0000a10000a10000a600009e00009000008900009000009200009000008900008200007d00007d0000920000b70000d10000ca0000af0000950000890000	1644310671222	66	1644310665188	95	99
1644310669809	0092f43023e2445208008200007d00007f00008400008600008400008200007d00007a00006e00006000007100000101008a02007f04001e0500800200e5fdffbafcff49ffff6700000000005100009a00006c00007600009200008200007f00009700009c0000a30000b90000c50000cc0000e00000fa00001201002801004201005f01007701009201009e0100990100830100660100390100f000009e0000590000210000f9ffffe1ffffd3ffffd0ffffd3ffffd8ffffdfffffe6ffffedfffff4ffff0400000c00000e00001800001a00001a0000240000300000320000300000370000	1644310672244	66	1644310665191	95	99
1644310670255	0041b19644e2445208003700002800003200003c00003200002b00002b00002b00002b00002400002400003200003200002400002100002d00003400002b00002100002100002600002600002600002600001f00000e00000700000c0000090000040000000000feffff1000003700004f00005600004100002100001a00001f00001a00001500001a00002100002400001f00001c00002600002d00002600002800009500000102001704003805002b030084feffbafcff17ffff5b0000c2ffffe6ffff4300000c00000900004100003c00003000004300005100005d0000690000760000	1644310673218	66	1644310665196	95	99
1644310670882	00ac95fc65e2445208008600009e0000af0000b70000cf0000ee00000801002101003401002f01001c01000b0100ee0000c500009a0000650000240000e6ffffb8ffff9effffa0ffffa5ffff94ffff8affffa3ffffb6ffffb6ffffbbffffd0ffffedffff040000ebffffb1ffffbdfffff4fffff9ffffebfffff2fffffeffff0200000e00001500001300002600003c0000260000f9ffffdaffffe4fffff7ffffebfffff4ffff130000feffffdafffff4ffff0c0000f7fffff7ffff070000020000020000090000020000000000000000f2ffffe8ffffebfffff4ffff1300004100004d0000	1644310674242	67	1644310665210	95	99
1644310671371	00e1026287e2445208003200001500000e0000070000f7ffffedfffff4fffff9fffff2fffff9ffff090000070000f2fffff2ffff090000540000560100050300130400f902005fffff94fcffcafdffe6fffff7ffffc9ffff2600003000001800003400003e00003000003c00005100005100005900006900007300007d0000900000a80000c50000d80000e40000f800000d01001c0100210100120100f50000d30000af00007a0000370000000000d8ffffb1ffff99ffff94ffff94ffff97ffff99ffff9bffffa0ffffaaffffb1ffffbbffffc7ffffc4ffffc2ffffccffffc9ffffc7ffff	1644310675218	69	1644310665220	95	99
1644310671906	004ce7c7a8e244520800d3ffffdfffffdfffffd8ffffceffffd8ffffe4ffffdaffffd0ffffc7ffffbfffffc9ffffd0ffffc9ffffc7ffffccffffc9ffffc9ffffceffffccffffc4ffffc4ffffc2ffffc7ffffceffffd5ffffe8fffff0fffff2fffffefffff4ffffd8ffffd8ffffdaffffc4ffffc4ffffd3ffffd3ffffc7ffffc9ffffdfffffe1ffffceffff2800008801007103004804004b020002feff03fcff15feffbbffff86ffffbbffff210000040000020000260000020000edffff2600005100004500001300000700004100007100007800007d00008b0000ab0000d30000f00000	1644310676293	69	1644310665233	95	99
1644310672490	0081542dcae2445208000101001201001c0100060100c700008e0000590000090000c2ffff9effff83ffff72ffff88ffff86ffff42ffff31ffff64ffff69ffff5affff7cffffa3ffffaaffffacffff9bffff83ffff9effffc7ffffc2ffffb1ffffb6ffffc7ffffd5ffffd3ffffd0ffffceffffd0ffffedffffedffffb8ffffa3ffffc2ffffe4fffff4ffffe4ffffbfffffbfffffd0ffffc7ffffbbffffbdffffb8ffffc2ffffe1ffffd8ffffc4ffffe1fffff0ffffceffffb1ffffbdffffd0ffffc9ffffc2ffffbdffffb3ffffb6ffffbfffffdcffffe6ffffafffffc4fffff50000e10200	1644310677267	70	1644310665244	94	99
