ECGTimestamps	ECGString	HRTimestamps	HRvalue	OXYTimestamps	PPGvalue	SpO2value
1644426899567	000ddf16e79144520800daffffd8ffffebffff000000000000fcfffff2ffffebffffedfffff5fffff9fffff5ffffe9ffffe4fffffcffff1500001300000b00001000001500000b00000e00003400004700001f0000f7fffffeffff0e00001300001a00001300001300002600003900004a0000b500001702001d0400d204007d020006ffff4efeff97ffffd6ffff9cfffff9ffff1a00000400002600003b00003b0000470000450000450000640000880000a00000b30000bc0000cd0000f100001901003d01004c01003d01002501000d0100ea0000bf00009d00007500004a0000230000	1644426899790	102	1644426899277	50	88
1644426900151	0080d383089244520800020000e4ffffd3ffffd1ffffe1fffff0ffffedffffedfffff9ffff0200001000001c00001c0000170000130000090000fcffffedfffff9ffff0900001000001000000700000000001300002100001a00001500001000001700003e00003e00001f00002100002100001700002100002300002600004000007e00006f0100600300b804004f0300d6ffff19feff25ffffdfffffabffffe9ffff2300000b00002300003400002600003900004a00004200004e00006b00008c0000a90000a000008c0000a40000d60000fd00002301003101000d0100f80000f10000	1644426900693	101	1644426899289	48	88
1644426900692	00f3c7f0299244520800c800008800004c0000260000020000d6ffffb4ffff9cffff89ffff8effff9cffff95ffff9affffadffffb9ffffc2ffffbbffffabffffc5ffffebffffebfffff0fffff5ffffe6ffffe1ffffe9ffffebffffe6ffffe4ffffddffffd6ffffdaffffdfffffddffffe6fffff5ffffe4ffffd1ffffe1fffff7fffff7fffff7ffff020000100000340000e200008e02006904004804002c01003dfeff82feffb4ffffa1ffff95fffff2ffffedffffe1ffff1300002100000b00001500003b00005d00005d0000470000530000830000a90000b30000c10000e50000060100	1644426901679	100	1644426899300	47	88
1644426901189	009a335e4b92445208001901001c01000d0100ea0000bf0000a900009b0000770000510000210000daffffadffffc2ffffe4ffffe1ffffdfffffedfffff2fffff7ffff000000fefffff7ffff0000000b00000b0000040000020000fefffffeffff070000040000feffff0200000e00001a00002a00003b00004000003600002d00003400004a00004200001700000400001000001a00002f00004c0000390000390000b50000f50100d30300000500730300beffff12feff63ffff260000daffff0200004e00004500002a00002f00004500004a00004500004a00005a0000660000770000	1644426902668	100	1644426899311	45	88
1644426901771	001128cb6c9244520800960000a90000940000980000e200002101002101001c0100210100fd0000d60000c300009b00006600002d0000090000040000feffffebfffff2ffff070000f2ffffd3ffffebffff0b00000b00001500002800002600002600003600003e00001f00000700001300001a00000e00001300001700000b00000700000900000900001f00003400002a00001f00001700001000001300001a00001a00001a00002300002f00004700009d0000b701008e0300990400ed020074ffff1efeff60fffff7ffffafffffebffff1c0000f9fffffcffff100000130000210000	1644426903660	100	1644426899322	43	88
1644426902357	004044388e92445208002f00002600001f00002a00004e0000720000830000960000b00000bc0000c80000ec0000ff0000e70000c60000a900008800006b0000450000130000edffffd8ffffcaffffc5ffffccffffd1ffffd3ffffd8ffffd8ffffdaffffebfffff0ffffe1ffffddffffddffffddffffe9ffffedffffe6ffffe4ffffe4ffffe4ffffe6ffffebfffff2fffff7fffff0fffff0ffff0900001a00002300002a00002300001c00002600002d00002800002800002600002d00004000004c0000610000cf00001902001a04001805000f03004bffff17feff78fffff0ffffa3ffff	1644426904695	100	1644426899334	41	88
1644426902987	00914ca5af9244520800feffff3400000000000400002a00003b00005800006900005500004700005500005d00006b00008c0000b30000d60000f800001c01003401002a01000b0100f60000de0000ae00007e00004c0000150000f0ffffd3ffffb9ffffa6ffffa8ffffafffffb4ffffceffffe4ffffdfffffdffffff2ffff000000040000020000fcfffff9fffffefffff9fffff9ffff000000fefffffeffff0700000900000700000e00001c00002100001a0000090000fefffff7fffffcffff0e00001c0000150000150000230000360000960000dd0100df0300ce0400bb02000dffff	1644426905683	100	1644426899345	39	88
1644426903483	00a07c12d19244520800f5fdff5effffd8ffff90ffffdaffff090000f7ffff0b00002100002100002800002f00003b00004e00005800006100007700008c0000ae0000d20000ec0000f80000010100040100f60000e20000cb0000a400007c0000510000260000040000edffffd8ffffc2ffffb4ffffb2ffffb9ffffc7ffffd8ffffe6fffff0ffffedfffff2ffff0200000400000700001300001700000700000200002100002f00002a00002800002100001500000e00001500002f00004500003e00002800002300002a00002d00003200003b00003e0000510000830000e00000080200	1644426906673	100	1644426899345	36	88
1644426903977	0013717ff29244520800050400fd0400f0020046ffff1efeff74fffff0ffffabfffff0ffff0b0000e1fffff2ffff0e0000f9ffffebffff0900002a00002f00002f00004000005100006100008c0000ba0000c60000d90000010100090100ee0000db0000c100009800007c0000580000260000070000edffffd1ffffd1ffffddffffd1ffffd1ffffe1ffffebffffebfffff5fffffcfffffcffff020000020000feffff0000000900000700000000000200000900000900000400000900001000000e00001700002d00003200002800002800002800001c00001c00001c0000100000150000	1644426907670	100	1644426899356	34	88
1644426904614	008665ec139344520800260000340000510000830000420100e602005604008603004500002afeff22ffff1a0000beffffbbffff2100002100000e00002300002d00002800003400004000004e00005f00006b00007000007700008f0000a70000bf0000db0000e50000e50000e50000cf0000b50000a20000880000640000420000280000100000feffffedfffff0ffff0000000400000400001300002600001f00001000002100003400002800001c00002100001c00001500002600002600001700002600003400002300001c00002d00003e00004500004500003900003b0000450000	1644426908698	101	1644426899367	31	88
1644426905147	00fb59593593445208004200003e00003b00003e00004e00005a00005500005f0000ae0000bc0100a10300070500950300c7ffff0bfeff4dfffff2ffffabfffffcffff3400000900000900002100002300003400004500004700005100005d00006100005500005100007200009d0000b70000d90000fa0000f80000ea0000ea0000d60000a200007500005500003400001f0000020000ddffffd1ffffd1ffffccffffd3ffffdfffffdfffffe4ffffedffffe9ffffdaffffebffff0b0000150000070000020000040000020000000000f7fffff0ffff000000100000150000170000150000	1644426909688	101	1644426899379	29	88
1644426905686	002a76c65693445208001a00001a00000b00000e00001f00001f00001c00002600002d00003e0000610000c800000b0200ef03007c04000b0200c3feff49feff9affffdaffffb2ffff000000100000f7ffff1700003200002600002800003b00004200004500005500006d00008a0000a00000b30000cd0000ec0000060100170100060100e50000c80000ae0000980000790000360000070000feffffe1ffffb9ffffadffffafffffb4ffffc0ffffcaffffd1ffffddffffebfffffcffff020000fefffff7fffff7fffff7fffffeffff0e0000130000020000f9ffff000000130000260000	1644426910681	101	1644426899391	26	88
1644426906271	007b7e337893445208002800002100002800003200002100001f00003200002d00001a00001f00002a00002f0000400000ae0000060200fe0300bf0400820200fafeff1cfeff74ffffd1ffff9ffffff5ffff090000d8fffff0ffff0e00000700001500003200003900003b00004a00005500005f00006d0000830000a40000cb0000de0000de0000e00000d90000c60000ae0000980000770000400000100000f7ffffddffffccffffc2ffffb4ffffb6ffffd3ffffdfffffe1ffffedfffff7fffffcffff0700000900000900000900000b0000070000020000000000020000040000070000	1644426911668	100	1644426899403	23	88
1644426906817	008aaea09993445208001000001500001700002100002300002100002f00003900002600001c00001f00001700000e00001700002a00002f00002f0000510000c30000f30100bd0300990400a302002cffff44feffabffff0b0000b6fffff2ffff170000feffff1c00003b00003200002f00003600003600003e00004c00006400007700008000009b0000b00000c30000ea0000040100fd0000ee0000e20000cb0000a900008f00007000004200002600001a0000070000edffffddffffe6fffff5ffffedffffdfffffe9fffff7fffff0ffffe6fffff0fffff7ffff0000001300000b0000	1644426912658	101	1644426899412	20	88
1644426907352	00fda20dbb9344520800f7fffff9ffff0900001300001c00001f00001f00002800003900003600002800002d00002f00002800003200003600002d00002a00002300001700002100003e00005a0000940000740100540300e50400d803001c0000d2fdfffafefffcffff8effffb4ffff210000fcfffffeffff5100005300002d00003400004000003b00005100006900006d0000800000a40000c10000d40000fa00002c0100360100150100f80000ea0000cf0000a000006900003900000e0000ebffffd1ffffc2ffffb9ffffb2ffffadffffb4ffffbeffffcaffffd8ffffe9fffff0ffff	1644426913693	101	1644426899435	18	88
1644426907937	0070977adc9344520800f9ffff0b00001500000e0000070000fefffff7fffff7fffff7fffff2fffffcffff0e00001f00002100002100002100001500001300001300000900000900000b00001000002300002a00002a0000470000980000a90100a10300c6040001030074ffff25feff68fffff9ffffbefffffeffff2d00000b00001300002a00002100001c0000280000320000400000550000610000770000940000ae0000cb0000ee0000100100190100100100fd0000db0000c30000ae00008800005800002a0000fcffffd8ffffd3ffffccffffb9ffffcafffff7ffff040000f7ffff	1644426914687	100	1644426899435	15	88
1644426908521	00c39fe7fd9344520800f9ffff0400000000000000001500002a00002d00002300001300000900001000001700002100002100001300001700001f00001700001f00003600003400002d00003600003900002d00003400004700004700004200004700004700005300008f000074010035030099040092030036000036feff25ffff090000d8ffffe1ffff0e00000200000000001500002100002600002600002300002d00003b00005300006b00007e00009b0000b50000ba0000cd0000060100360100250100ff0000e50000bf00008c0000580000280000000000dfffffccffffc5ffff	1644426915673	101	1644426899436	13	88
1644426909061	008ef7541f9444520800beffffc7ffffdaffffe6ffffe9fffff5ffff020000fcfffff5ffff0700001c0000100000f2fffff0ffff0200000700000900001000000e00001000001c00001f00001f00001f00002300002800003600004a00004e00004500004000003b00002d00001f00002d00004200004500004200004c00007200003d0100050300a70400fe0300b3000044feffebfeffedffffc2ffffd1ffff2800002100001000002800003400003b00004000003b00004500005f0000720000850000980000a00000bf0000ec0000f80000ff0000280100380100090100d90000bf0000	1644426916663	101	1644426899446	12	88
1644426909601	0065b0c14094445208009600006b00004500001a0000fefffff2ffffd1ffffb4ffffbeffffc7ffffc2ffffd6fffff0ffffedffffe1ffffe9fffff7fffff9fffff9ffff0b00001500000b00001000001300000b00001700002300001300000900002100002d00002a00003e00004500001c00000400001500002600002a00003e00004c00004000003e0000700000170100a602006404002e04002801004bfeff8efeffc5ffffc0ffffb9ffff040000fcffffebffff0400001700001c00002a00003b00004000005300007c00009d0000b30000c60000e200000401001901002501002f0100	1644426917698	101	1644426899457	10	88
1644426910186	0074e02e6294445208002a0100150100f80000d60000ab0000640000100000dfffffd1ffffc0ffffafffffadffffafffffadffffabffffbbffffd8ffffe4ffffe6fffffcffff0e0000040000040000170000090000feffff090000070000feffff0700000b00000400000400001300001700000700000b00001700000b00000000000400000e00001300001500001a00002100003600006b00000b01008c02002e0400f703000d01005ffeffc0feffe9ffffcaffffc0ffff090000000000f5ffff1000001a00001500001000001300001f00002d00003e00005800007500008300009d0000	1644426918688	101	1644426899469	10	88
1644426910726	00e7d49b839444520800c60000e20000f800000d0100060100e50000cd0000c80000a400006100002f0000040000e4ffffddffffddffffcaffffbbffffcaffffddffffe1ffffe4fffff2ffff0000000b00000e00001000001f00002100000900000000000b00000900000b00001000000900000400000b00001a00001c00001700002100002600000b0000f2fffffeffff1000001000001300001c00002600002f00005a0000380100fc0200730400950300320000e7fdffd1feffe6ffffa8ffffaffffffeffffedffffebffff0b0000100000130000280000390000470000580000660000	1644426919682	101	1644426899481	10	88
1644426911266	005ac908a59444520800790000960000ab0000c10000de0000f80000060100fd0000e50000d90000c30000a40000850000580000260000020000e6ffffd1ffffc7ffffc5ffffc7ffffcaffffccffffd8ffffe4ffffe4ffffe9fffff0fffff5fffff9ffff020000090000040000feffff0000000900000900000700000b00001300001500001c00001f00001f00002a00003900003400002f00002a00001f00002100002d00002a00002100002d00003e00003b0000530000e50000490200f90300450400c301009ffeff6ffeffcefffff9ffffc7ffff1000002800000e0000210000390000	1644426920713	100	1644426899494	11	88
1644426911896	00053576c694445208003b00004000004200004500004e00005800006100007900008f0000a40000c60000e00000e70000e50000e50000e20000de0000cb0000a700008000005800003400001c0000090000f2ffffddffffddffffe9fffff2fffffefffffefffff0fffff0fffffcffff000000070000090000070000070000070000fefffff9ffff0200001300001000000000000400001000001000001700002600002100001700001300000b00000b00001c00002600002300002600002f00004500006b0000e000003f0200300400af04001e0200adfeff42feffb4ffffedffffb9ffff	1644426921703	101	1644426899505	14	88
1644426912440	007829e3e794445208001300003600000e00001500002d00003900004a00005500005500006600008300009d0000ab0000b00000cf0000ec0000f300001201002a0100170100010100ff0000ee0000ba0000700000260000f9ffffe6ffffd1ffffbbffffb4ffffb6ffffbeffffc5ffffccffffd3ffffe1ffffedfffff5ffff000000040000feffff040000070000f9fffff5ffff0200000e00000700000000000200001300002600002300001a00001f00002a00002100001000001500002600002a00002a00003900003e00004200006d0000f800005702002b04005b040085010074feff	1644426922698	102	1644426899516	16	88
1644426912976	00eb1d500995445208008afeffdaffffddffffc2ffff2100001a0000f7ffff2100003400002100002800003400002600002300004700006b00008000009d0000c60000e00000f60000150100190100060100f80000e20000bf00009400006600003600000b0000f0ffffdaffffccffffc5ffffc7ffffccffffd8fffff0fffff9fffff7fffff9ffff0700001000000e00001700001f00001700001000001000000e00000e00001000000b00000b00001300001300001700002300002100001700001a00001700001300001500001500000e00001000002d0000420000450000ae0000120200	1644426923683	102	1644426899527	20	88
1644426913518	00d661bd2a9544520800070400b104006a0200fffeff4bfeffa1ffffebffffa8ffffedffff130000f5fffff7ffff1300003200003e00003600004200005a0000610000610000750000940000b00000c30000cf0000de0000f60000ff0000ec0000cd0000b700009600005f00003200000e0000edffffe6ffffdfffffb4ffffa3ffffd8fffff9ffffddffffe4ffff0e0000090000f5fffffeffff0700000400000700000b00001000001700001a00001000001300002100002600002600001700001500002d00002d00002300002a00002300000b00001500001f00001500001a0000260000	1644426924673	103	1644426899529	24	88
1644426914100	00077e2a4c9544520800260000340000580000ae0000ca01009e0300970400c002001bffffcafdff35ffffdfffff8bffffbeffff000000ebfffff2ffff1300000b00001000002f00003e00004700005d00007700008a0000a00000ba0000e000000401001701001e0100210100210100120100fa0000d400009d00006d0000420000150000f7ffffedffffe4ffffddffffe4fffff2ffffedffffe6fffff7ffff0000000700001700001700000400000000000200000200001300001500000400000700001700001700001a00001f00001a00002300003b00004a00003e00001c0000040000	1644426925663	105	1644426899539	29	88
1644426914686	007872976d9544520800100000170000f9fffffcffff1c00001f00002600007000004e01000f0300990400890300fcfffff3fdffeefeffc2ffff89ffffb6ffff020000f0fffff0ffff1000001500001c00003400004700005300005a00005f0000700000800000a00000e700001701000901000101001c0100190100f10000d60000ba00007e00003e0000150000f7ffffceffffa8ffffa3ffffafffffafffffb6ffffccffffd1ffffccffffddffffedfffff2fffffcffff0400000400000200000900001300000b0000f7fffff2fffffcfffffcfffff2fffff5ffff0b00001a0000090000	1644426926698	106	1644426899549	35	88
1644426915226	00ef66048f95445208000000001a00002600001300001500002300002600003200004700004c00005d0000cd00001e0200e60300510400f30100cffeff61feff9fffffccffff9cffffedffff1500000e00001700002600004200004700003400004200006600007900008500009d0000bc0000d90000f300001201002501002c01002f01001e0100fa0000d40000ab0000720000340000040000edffffe6ffffdaffffcaffffc2ffffc5ffffd1ffffddffffdfffffe1fffff2ffff040000070000020000090000090000feffff0400000e00000400000400001000000b0000040000090000	1644426927688	106	1644426899573	40	88
1644426915812	00625b71b095445208001700002800002800001f00001c00001a00000700000200000900000200000000000e0000100000150000400000f30000a102007a040045040009010017feff87feffd6ffffb9ffff9ffffff5fffff2ffffe1ffff0400001500001000002100002a00003200004c0000640000720000880000a40000c10000e200000601001e0100210100120100ff0000ec0000cf0000a200007000004500001c0000f9ffffddffffd1ffffd3ffffd8ffffddffffe1ffffedfffff5fffff7fffffeffff0900001000000e00000b00001300001c00002100001700000e0000150000	1644426928723	104	1644426899573	46	88
1644426916396	006f8bded195445208001300000b0000070000fcfffffeffff1000001700001300001700001f00000e0000fcfffffeffff0400000700001700002a00003400004000007c00006301002c03009b0400950300130000fafdff06fffff5ffffa8ffffc5ffff1700000700000400002600003200003900004500004500005300007000007c00007c0000940000b50000c80000e70000100100170100060100010100f30000d40000bc00009800006100003200000e0000f7ffffe4ffffd6ffffd1ffffd6ffffddffffdfffffe1ffffe9fffff5fffff9fffff5fffff2fffffeffff000000f7ffff	1644426929667	99	1644426899583	52	88
1644426916891	007ebb4bf39544520800f2fffff9fffffcfffffcffff0400000900000900000b00000e00000400000700002600003b00003400002800001a00000b00001000001300001000001700002100002300002600003400006400003801000a0300ce0400350400b7000020feffdffefff7ffffb6ffffafffff020000fcffffe9ffff0200001700002100002600002d00003900005100007000008a0000980000a90000cf0000f100000401001e0100310100210100fd0000ea0000d90000ae00007500004500001c0000feffffebffffe4ffffe4ffffe6ffffe4ffffe4fffff0fffffcffff000000	1644426930703	95	1644426899594	57	88
