ECGTimestamps	ECGString	HRTimestamps	HRvalue	OXYTimestamps	PPGvalue	SpO2value
1644396508612	003603e831c44352080093ffff9affffb5ffffb8ffffb3ffffaeffff9affff9fffffc4ffffcdffffc6ffffcbffffcdffffd5ffffe6ffffedfffff4fffffeffff0900002600004400005500006300006600006300006d00006600003a0000020000d0ffff9fffff85ffff78ffff71ffff71ffff74ffff78ffff7bffff76ffff82ffff93ffff8cffff89ffff98ffff9fffffa2ffffa4ffff9fffff9dffffa9ffffb0ffffb0ffffb3ffffaeffffaeffffb8ffffbaffffb5ffffb3ffffa9ffffa4ffffb0ffffb5ffffaeffffa9ffffa2ffffa7ffffb3ffffb5ffffabffffa4ffffa2ffffa2ffff	1644396513248	66	1644396508592	54	97
1644396509154	00a9f75453c443520800a4ffffabffffb3ffffa9ffffa4ffffa9ffffaeffffb0ffffb0ffff9affff8cffffa4ffffb5ffffaeffffaeffffaeffffabffffaeffffabffffa4ffffabffffb0ffffaeffffb5ffffbcffffb8ffffb3ffffb5ffffbfffffc1ffffb8ffffa7ffffa2ffffaeffffb3ffffb0ffffb3ffffb8ffffb8ffffb5ffffbaffffbcffffc1ffffc4ffffc9ffffedffff8800008701001102002a010032ffff61feff37ffffb0ffff7bffff91ffffb5ffffa4ffffa9ffffbcffffbcffffbcffffbfffffc6ffffcbffffcdffffd5ffffdaffffdaffffe1ffffe6ffffebfffff7ffff	1644396514336	66	1644396508603	54	97
1644396509698	00e674c174c443520800feffff0700001a00002b00003700004d00004b00003c00005200005900004100003500001a0000e1ffffb8ffff9dffff85ffff80ffff7dffff7bffff85ffff89ffff87ffff89ffff80ffff82ffff98ffff9affff96ffff9fffffa4ffffa4ffffaeffffb0ffffb3ffffb8ffffb8ffffbaffffbfffffbaffffaeffffa4ffffa2ffffa9ffffaeffffa7ffff9fffffa2ffff9fffff9dffffa7ffffa9ffffa4ffffa4ffffa9ffffabffffaeffffabffffabffffabffffaeffffb0ffffb5ffffb3ffffb0ffffb3ffffb5ffffbaffffbcffffbfffffbcffffb8ffffbcffff	1644396515272	67	1644396508614	53	97
1644396510368	005b692e96c443520800baffffabffffa9ffffa7ffff91ffff93ffffb0ffffb3ffffa7ffffa9ffffaeffffb5ffffbcffffc1ffffcbffff1a0000f20000d90100b701001a00007efeffacfeff8effff96ffff76ffffa9ffffb0ffff9affffabffffbfffffb8ffffbaffffbcffffb5ffffc1ffffd0ffffd0ffffd7ffffdcffffdcffffe8fffff4fffff9ffff0400001100001800002e0000480000570000610000660000610000630000590000300000feffffcdffff9dffff89ffff85ffff80ffff82ffff82ffff82ffff89ffff85ffff89ffff98ffff96ffff93ffff9fffffa2ffff9dffff	1644396516262	66	1644396508637	53	97
1644396510864	00540e9bb7c4435208009dffff9fffffa2ffffa7ffffaeffffaeffffb0ffffabffffabffffb0ffff9dffff87ffff98ffffa2ffff96ffff93ffff96ffff98ffff85ffff6affff7dffff9affff91ffff85ffff85ffff85ffff8cffff9affff9dffff96ffff8effff91ffff98ffff9affff9affff9dffff9affff98ffff9dffff9fffff9fffffa2ffff9fffff9affffa2ffffb0ffffb5ffffaeffffa2ffff9affff9dffffa2ffffa7ffffa7ffffa2ffff9dffff96ffff98ffffa2ffffa7ffffa7ffffabffffbaffff0e0000eb0000d20100a40100f7ffff68feffa3feff7bffff7dffff60ffff	1644396517254	66	1644396508648	53	97
1644396511407	000bdb07d9c44352080093ffff98ffff8cffff91ffff8effff93ffffa2ffffa7ffffabffffa7ffff96ffff98ffffb5ffffbfffffbcffffbaffffbcffffd0ffffe6fffff2ffff0400001800002400003000004100005000005500004d0000370000180000e6ffffb0ffff89ffff6affff56ffff59ffff5bffff5bffff67ffff6cffff6affff6fffff76ffff76ffff76ffff76ffff6fffff6cffff71ffff76ffff80ffff82ffff85ffff8effff91ffff8cffff8effff8effff8effff8effff91ffff93ffff96ffff93ffff93ffff96ffff91ffff8effff91ffff87ffff80ffff8effff93ffff	1644396518242	67	1644396508659	53	97
1644396511948	007ecf74fac4435208008cffff96ffffa4ffffaeffffa9ffff9dffff8effff82ffff80ffff93ffffa4ffff9fffff9dffff9dffffa2ffffabffffb0ffffaeffffb3ffffcdffff520000510100f901003b010059ffff5afeff0bffffa7ffff82ffff87ffffaeffffa4ffffa4ffffb8ffffbaffffb5ffffb8ffffbaffffbcffffc4ffffd0ffffd5ffffd2ffffdaffffe6ffffebffffeffffff9ffff0200001100002b00004400005500006100006300006800007200006800004400000e0000d7ffffa9ffff82ffff6affff71ffff78ffff71ffff80ffff91ffff8effff87ffff87ffff8effff	1644396519283	68	1644396508660	53	97
1644396512529	0011b0e11bc5435208009affff9fffff9fffffa2ffff96ffff85ffff98ffffaeffffa9ffffabffffb0ffffabffffaeffffb8ffffb5ffffb3ffffa7ffff9fffffb0ffffc1ffffbfffffb8ffffb3ffffaeffffabffffb0ffffb8ffffb8ffffb0ffffa4ffffa2ffffabffffabffffa7ffffa9ffffabffffb0ffffb3ffffb3ffffb5ffffb5ffffb5ffffbaffffbaffffbaffffb8ffffb5ffffb3ffffbaffffbfffffbfffffbfffffbfffffc9ffffcdffffbfffffa7ffffa9ffffbaffffbcffffb8ffffb5ffffb5ffffbaffffbcffffbcffffc1ffffc6ffffc9ffffe6ffff6a00006501001b0200	1644396520266	68	1644396508672	53	97
1644396513071	002e414e3dc5435208006e01007dffff66feff1cffffb8ffff87ffff89ffffaeffff8effff8effffbaffffbcffffb3ffffbfffffc4ffffc6ffffd0ffffdaffffdeffffe1ffffdeffffdcffffe8fffff7ffff0000000700001500002b00003c00004b00005c00006800006a00006a0000680000590000300000f9ffffcbffffa9ffff91ffff8cffff8cffff87ffff8cffff98ffff9affff9fffffa2ffff98ffff9fffffabffffa2ffff9fffffabffffaeffffb0ffffb5ffffb8ffffb8ffffb8ffffb8ffffbaffffbaffffb5ffffbaffffbaffffb8ffffbaffffbaffffb8ffffbcffffbcffff	1644396521262	68	1644396508682	52	97
1644396513654	00a335bb5ec543520800b8ffffbcffffbcffffb5ffffabffff98ffff93ffffaeffffb0ffff9fffffa4ffffa4ffff96ffff98ffffa7ffffa7ffffa4ffffa4ffffa7ffffabffffa9ffffa9ffffabffffabffffaeffffb3ffffb0ffffb0ffffb0ffffaeffffb3ffffb8ffffb5ffffb3ffffb3ffffb3ffffb8ffffc1ffffc6ffffc1ffffbaffffa9ffffa2ffffaeffffaeffffa7ffffaeffffb5ffffb8ffffbaffffbcffffbcffffbcffffc4ffffd2ffff220000f20000e00100dc01004800009bfeffb6feff93ffff98ffff74ffffa7ffffb8ffffa4ffffaeffffb5ffffb5ffffbcffffc6ffff	1644396522256	68	1644396508693	52	97
