ECGTimestamps	ECGString	HRTimestamps	HRvalue	OXYTimestamps	PPGvalue	SpO2value
1644165522312	00831178a1ce435208002503009712005e27000530008d3100e336000c3b001e3c00fd3d00f13f00b64000744100374200954200ca4200ce4200b14200a542009042007842006542001f4200cb4100a441007b41004441002941000341009240002b4000ee3f00933f003d3f00f23e007f3e001a3e00d43d00743d00223d00ce3c00533c00ec3b009c3b003c3b00ea3a00963a00193a00aa39006039000c3900bc38007238000138008d37003e3700f136009d36004e3600f035009435004a3500043500c134004b3400d33300943300423300e232009c3200523200f93100a731004e3100			1644165521661	20	100
1644165522847	00c6d2dfc2ce43520800013100c330007130001a3000d52f00832f00312f00f72e00ad2e00652e00512e00002e005f2d001b2d00fc2c00992c00542c00242c00d92b009b2b00462b00e42a00b12a00902a00532a001f2a00de29007b29002c2900f42800ac28005f2800232800e52700ab2700762700372700f22600b626007a26004026006126003c27004c28005f28007526001d23009021000523002c2400e22300be2300ad2300592300392300262300c42200792200662200332200fc2100df2100b121007321004c21002b2100042100ea2000c620009320007920006620003f2000			1644165521670	19	100
1644165523435	00099447e4ce43520800192000eb1f00a01f005f1f00231f00c81e00761e00381e00c71d005a1d00321d00ff1c00c51c00a61c00781c003f1c001f1c00071c00e31b00c41b00a71b00771b004e1b00341b00081b00d81a00b71a00901a00631a00411a001d1a00f41900cb1900a01900741900501900311900081900dd1800b918009718007d18005e18002d1800021800ea1700cb1700a417007217004717002f1700121700f01600ca1600ad16008d1600691600511600371600131600f31500d41500ab15009115007e15006115003d15001b1500fc1400e11400c71400a81400861400			1644165521682	19	100
1644165523973	00c4a4af05cf435208006e14005114002614000b1400fa1300d91300b013009313007913006113005c13005513003013000c1300f01200c71200aa12008d12006212004512003912002112000b1200fa1100d61100b51100a61100951100a811005112007613002d1400651300a71000080e00960e00721000ae10005f10008f10008810004510003410002a1000101000011000fc0f00ee0f00dd0f00ca0f00b70f00ad0f00ab0f00a60f009c0f00900f00890f00870f00890f008b0f00820f00670f00480f00240f00fe0e00cd0e00850e003b0e00060e00d60d00b20d009c0d00890d00			1644165521691	18	100
1644165524506	00c58d1727cf435208006e0d00590d00450d003e0d003c0d00300d00240d00180d00fd0c00e00c00dc0c00d40c00b80c00a70c00a00c00910c00850c00790c00680c00570c00420c00310c00270c001b0c00060c00f00b00e20b00d10b00c00b00b40b00aa0b009c0b008d0b007a0b00670b00580b004f0b003e0b00320b002b0b001f0b000e0b00040b00fb0a00ec0a00db0a00cf0a00cb0a00bc0a00a90a009b0a00930a00870a00740a00660a00610a005a0a00440a002c0a001d0a001b0a00190a00080a00f90900f00900dd0900cc0900c40900c00900b60900a809009709008d0900			1644165521702	18	100
1644165525093	003cc67f48cf43520800920900a00900a309008d09005f09003209001c09001509001009000e0900060900fa0800ee0800e50800de0800d60800c10800d208007a0900b50a00900b00f30a00570800aa0500050600ed07005908002008005208005508002e08003a08003c08002708002408002908002008001608001808001b08001b08001808001408001b08002408002908003308003c08003a08003508003508002c0800140800f20700c907009207005f07003907000d0700e90600d90600c80600b50600b20600b00600ad0600ad0600a406009f0600ab0600ad0600a606009c0600			1644165521716	18	100
1644165525725	008187e769cf435208009a06009a06009006008706008006007406006306005006003f06003a06003706002e06002906002406001f06001f06001d06001606000a0600f90500ed0500ef0500ef0500e80500e60500e60500e10500da0500da0500d50500d00500d00500d00500c40500bd0500ba0500b80500b30500ac0500a205009b05009905009b05009e05009605008805008605008605007c05007705007705007005006b05006905006405005f05005d05005305004905005105006605007705007205005505003d05003605002d05002105001e05001e0500190500140500120500			1644165521719	17	100
1644165526216	0080704f8bcf435208000b0500040500010500fc0400190500bf05000b07000808007c0700db04000e02005402004d0400cf0400970400d10400db0400a60400a30400b90400b20400af0400b70400b40400b20400b70400bc0400c50400d10400d60400d60400e20400ec0400fa04001005001e05001e05001905000d0500f80400dd0400b904008904005204002904000e0400f90300e30300d00300c40300bf0300c10300c60300c90300c90300c60300c60300cd0300d20300d50300d50300d20300c60300c40300c40300bf0300b50300a90300a20300a203009d0300960300990300			1644165521737	17	100
1644165526797	003d81b7accf435208009903008d03008803008a03007903006d03007003006103004e03005303005a03005803005803005503005003005503005c03005a03005503005003004c03004703004703004903004403004003004203004003003d03004003004003003d03003b03003803003603003803003403003103003103002f03002c03002a03002503002003002503002503002003002503002503001903001403000f03000d03001703002a03003403002803000f0300030300010300f70200ee0200f30200fa0200f70200f00200eb0200ee0200f00200ee0200e202001e03000c0400			1644165521739	17	100
1644165527333	00f8911fcecf435208004c0500c605007f04008a0100ceffff310100cc0200c70200af0200e70200cf0200a60200b60200c00200b60200be0200ca0200c30200c50200d30200db0200df0200eb0200f70200ff02000d03001e03002c03004003004903004703004203003603002803000f0300dd0200a602007d02006002004302003002002102001802001502001502001102001102001a02001d02002102002602002602002602002602002402001f02001f02002902003002002b02002602002602001802001102001802001502000902000c02001102000e02000c0200090200090200			1644165521749	16	100
1644165527870	00f97a87efcf43520800090200070200070200050200fd0100000200000200ea0100dc0100e50100ea0100e30100ea0100f40100ef0100e80100ea0100ea0100ec0100ef0100ea0100e50100e30100e50100ec0100ea0100e00100e00100e30100de0100de0100e80100e80100e00100de0100d40100cb0100d20100d70100d00100c80100cd0100d20100cd0100c80100cb0100c40100c80100e00100f40100f40100d90100bc0100ba0100b30100a00100a70100b00100a701009d0100a70100ac0100ac0100ae0100a70100cb0100900200ed0300d4040011040033010085feff26ffff			1644165521760	16	100
1644165528503	003c3cef10d0435208002701008f01006d0100a90100a001007b0100980100a701009b0100a00100a70100a90100b00100b50100bc0100cb0100d40100d90100e00100f601000e02001f02002902003902004102003e02003502001f0200020200e00100b301008501005f01003d01002501001b01000f01000801000f01001601000f01000f01001401001401001b01002501002501002001002201002a01002f01002c01003101003b01003d01003301003101003301002c01002701002a01002c01002c01002c01002a01002f01003101002c01002f01003301003101003301003b0100			1644165521782	16	100
1644165529039	00b5745732d0435208003b01003301003101003601003601003801003d01003b01003601003801003f01003f01003d01002f01001b01001e01002f01002a01002001002201002201002201002501002701002a01002c01002c01002701002a01002f01003101003101002a01002201002001002701003b01005701005c01004701002f01002001001b01001601001601001601001601001901002001001e01001601001401001401002001008701009c0200e303002b040065020034ffff11feffe4ffff270100f500000801003d0100220100200100310100270100270100330100380100			1644165521785	16	100
1644165529574	00b45dbf53d0435208003b01004401004901005001005701006101006d01007e0100870100910100960100960100a40100b30100ae0100a201009101006b0100420100160100eb0000c70000b10000a10000970000920000900000950000990000970000990000a100009e00009700009e0000ad0000ad0000ad0000b60000bd0000bd0000bb0000b90000b90000bd0000c20000c20000bd0000bb0000b90000b90000bd0000c00000c50000c50000bd0000bb0000c20000c70000c20000c50000c50000c20000c70000ca0000ca0000ca0000c70000c70000d10000d30000ce0000ca0000			1644165521793	15	100
1644165530162	00d5322775d043520800c20000bd0000c50000c70000c50000ca0000c70000b10000a10000ad0000b60000b10000b40000b90000b40000b10000b90000bd0000c00000bb0000b90000bb0000c50000c50000bd0000b10000a50000a10000ad0000c70000dd0000da0000c20000af0000b10000ad00009c00009c0000a80000a80000ad0000b40000b10000af0000b40000af0000c000005a01008b02008a030049030008010020fefffbfdff070000cc0000860000ad0000cc0000ad0000b60000c70000c00000c00000c50000c50000c70000ce0000d80000e20000e90000f00000f70000			1644165521805	16	100
1644165530697	00b42f8f96d0435208000801002001002f01003801004701004e0100530100550100440100200100f50000c000009700007d00005b00004000003000002400001500000900001000001c00001f00001500001500002800003400003400003c00004000003e00004500004f00005100005400005100004f00005100005100005100005400005600005100004c00005400005600005400004f00004a00004f00005800005800005800005b00005600004f00004f00005800005d00005600004f00005100005800005b00005400005100005100005400005600005d00005d0000540000510000			1644165521808	16	100
