ECGTimestamps	ECGString	HRTimestamps	HRvalue	OXYTimestamps	PPGvalue	SpO2value
1644315305188	000144e2731949520800ec11009319008e1c00302000e02300e42500ab27008b2900d72a00d42b00ca2c00992d00412e00e32e00872f001530008b3000203100a53100de3100353200ab3200d432000233005d3300903300af3300db3300f33300fc33001934003934003134001934000b3400013400f53300e93300cc3300a133007833005933003933001a3300ef3200b232008232005c32003532000a3200d53100943100503100123100c530008430005330000130009f2f005b2f001d2f00d92e00a22e006a2e002c2e00f22d00962d00282d00db2c00972c00432c00f12b00a12b00	1644315305183	72	1644315304557	38	93
1644315305772	00fa0249951949520800542b00112b00c12a005c2a000d2a000f2a00ae2a00bc2b003e2c00b82a008526005c2300cf2400fb2600ae26002a2600382600e225007525004a25000225009f2400562400112400c823008c23005723001d2300e42200a522007522005822002c2200f52100bb2100652100f820008920000a20007e1f00f21e00641e00e21d007f1d00211d00b31c00551c000c1c00c61b007e1b00381b00f01a00b61a00781a00321a00f61900c119007d1900351900f61800b818006f18002c1800ed1700af1700751700361700f01600ad1600691600281600f11500bc1500	1644315306257	73	1644315304561	38	93
1644315306364	00359aafb619495208007b15003a1500fb1400c41400831400331400011400d113008b1300531300261300fd1200c312007612003e1200181200e31100b511008c11004d1100141100e61000b81000881000551000201000eb0f00c50f00ad0f00a10f00900f005b0f00120f00d60e00a80e00820e00570e00260e00f40d00cd0d00b00d008c0d00660d004e0d00850d00710e008d0f00c70f00220e00590a00040800f20900100c00c30b007f0b00cc0b00a10b005d0b00600b00480b001c0b00100b00ff0a00d90a00c60a00c30a00bc0a00ba0a00ba0a00b00a00ab0a00b00a00b00a00	1644315307279	74	1644315304584	37	93
1644315306845	00723116d819495208009d0a00790a00480a00070a00b809006109000a0900b90800730800340800f80700cc0700b207009707007f07006207003c07001f0700130700020700f40600f10600d90600b006009806008e06007b06006306005706004606002c06001b0600160600030600e60500ce0500ba0500ac05009b05008d05007705006405006105005a0500380500200500200500120500f70400f00400e90400d10400c50400be0400ad0400a304009e04008604007304006e04006904005404003204002104001a0400060400ee0300e50300f303000404000e0400150400020400	1644315308205	74	1644315304589	37	93
1644315307479	0069f07cf91949520800cf0300ad0300a603009a03008e0300870300740300600300600300630300570300570300c50300f504004b060093060095040082000078feffa60000b50200ae0200c40200180300fb0200ea0200fb0200ea0200e50200f90200f60200f602000c03001803001603002403004103005b0300740300980300b70300be0300b20300950300630300260300e502009b02005a02001d0200e40100bb0100a701009701008101007701007a01007a01007701007a01008101008b01008801007c01007f01008f01009401008b01008101008101007c0100750100770100	1644315309182	74	1644315304605	37	93
1644315307968	00ea5fe31a1a495208007f01007201006601007201007001005d01005601005101004501004201004201004701005101004e01003901001e01001001001901002801002501002501002d01002801002a01002f01002501001901001c01001c01001e01001e0100120100080100010100ff00000d01002d01005301006201004201001e0100100100ff0000f30000fa0000fc0000f30000ee0000e90000e40000e70000f800003601001602007403002b0400f6020049ffff72fcff13feffa10000c000008e0000fa0000080100e40000ee0000f50000f30000fc0000040100060100190100	1644315310205	74	1644315304609	36	93
1644315308549	0069cf493c1a495208002f01004001005101006e0100920100b10100c40100da0100ed0100eb0100d30100af01007a01003b0100ff0000cf00009200005100003700003900002800001800002100002d00002b00002100002100002b00003700004500005100005400004100002d00004d00006900004100001f00003c00004500003000005400007d00004300000900004a0000840000970000c300008900004800008200007800004d0000a60000dd00008b00006c00008900008200007100006c00006e00007800006e00003c0000450000a80000970000370000560000890000620000	1644315311180	73	1644315304615	36	93
1644315309141	00628eb05d1a495208006000007800005d00006e0000b90000d60000bb0000950000560000480000950000a600005d00005400007f00008600007f00008900007d00008600002a010096020004040037040014020032feff83fcff9cfeff670000890000ee0000280100b900009c0000c70000ab00007d00007a00008900009a00008e00005400002800002400001300000c00004100007a0000820000860000a100009a00006e0000430000280000180000e8ffff8affff6bffff97ffff81ffff2fffff08ffff1cffff45ffff69ffff7effff7cffff77ffff8dffffafffffb6ffffa7ffff	1644315312203	73	1644315304618	35	93
1644315309672	0003ea167f1a49520800bfffffe8fffff2ffff0200001c00002600003400003c00003400003900003900002400001300001300001c00002400003c00004d00003e00003700003400002400002400001c0000f7ffffdaffffccffffc4ffffceffffd3ffffd0ffffdfffff0400001500000700000900003400004a00003700004d00007300006200004a00004f0000970000aa01003f03002104007103004f000098fcffbffcff25ffffdcffff0200007a00005600001c00005b00008200006000005b0000900000ad0000920000a10000db0000db0000d300001c01007201008f0100990100	1644315313177	74	1644315304638	35	93
1644315310207	00dabc7da01a49520800c20100d80100c001009b01006b0100210100c700006c0000130000f4ffffdcffff8dffff70ffff99ffff99ffff77ffff5dffff51ffff6bffff99ffff99ffff7cffff94ffffbbffff99ffff88ffff97ffff58ffff14ffff3dffff49ffff0dffff19ffff45ffff10ffffdffeff2dffff4effff04ffff06ffff17fffffffeff4effff7affff19ffff12ffff7cffff7affff2affff31ffff7cffffb8ffffb8ffff9effffa5ffffe4ffffceffff6effffbbffff45000000000070ffff5affffd3ffff410000daffff83ffff340000a100007d00006b0100160300820300	1644315314249	76	1644315304641	35	93
