ECGTimestamps	ECGString	HRTimestamps	HRvalue	OXYTimestamps	PPGvalue	SpO2value
1644166588870	0007924ff7c644520800af09009919000d2400242700962b005930007632005e3400b73600423800713900d23a000b3c00f73c00c53d007f3e00293f00c33f004f4000c940002941009841008b42002b44006845000d4500bd4200c83f00593f005e4100714200624200a54200c542008b4200654200514200434200394200104200d74100b541008e4100664100524100274100d14000a040008d40005d40002b4000f33f00a23f00593f001b3f00c23e00733e00263e00a63d00243d00da3c00833c000d3c00b23b00603b000a3b00a93a00123a00923900563900093900b338007b3800			1644166588216	63	99
1644166589404	003cffb418c7445208003f3800f03700aa3700673700093700a936005736000f3600bd35007a35002135007d3400003400c43300583300d632007632000c32009b3100533100fc30007130000c3000c62f00702f00282f00cf2e00602e00132e00d22d007b2d00332d00f02c008d2c00322c00f32b00c12b008c2b00422b00da2a007c2a00372a00e22900792900202900ce28007728002f2800f12700a127004b2700002700ba26007a26007a26001f27002628005f2800c226006e2300ec2000b121006523008b23004523003c2300f422009822005722000f2200cc21008b2100482100			1644166588221	61	99
1644166589990	003bf5193ac744520800092100c62000802000552000292000012000e91f00aa1f003e1f000b1f00fa1e00ba1e007d1e00491e00d81d007f1d00451d00cf1c00541c00051c00a21b00451b000b1b00d41a009c1a006a1a00261a00e81900cb19009d19005f19002f1900011900b91800781800561800371800091800d717009d17005a17001e1700e91600ad1600731600431600151600e51500bc15008e15005c1500381500111500e91400c21400a314008414006214003914001c1400071400d613009f1300711300491300181300eb1200bf12008f12005d1200341200091200db1100			1644166588234	60	99
1644166590526	0070627f5bc744520800c81100ca1100b91100891100541100221100e81000b310008a10006b10004e1000191000e70f00ca0f009f0f00630f003c0f001a0f00f40e002e0f002110003a11005011008b0f00490c00980a00200c00a80d00a10d009e0d00cf0d00ad0d00900d00950d008b0d007f0d007d0d00730d005e0d00430d002d0d001d0d000e0d00050d00090d00090d00f60c00e80c00de0c00c10c00960c006b0c00310c00e90b00a50b00670b001c0b00d20a00930a00630a003d0a00220a000f0a00080a00050a00f70900dd0900c20900aa0900a00900900900640900400900			1644166588245	58	99
1644166591112	006f58e47cc7445208003909002b0900100900090900ff0800e00800c80800bc0800a408008c08007d08006308004b08004608004108002908001408000a0800030800f90700ed0700e10700d50700c20700b30700af0700a507008f07007707006407004e0700360700210700100700f80600e20600d10600ca0600bc0600a606009c06009806008e0600900600a40600ab06008e06006c06005906004d06003706002406001b06001606000a06000706000a0600fe0500ed0500e60500de05000f0600ee0600500800090900f20700b70400fd0100e702000405005d05004505008d0500			1644166588265	56	99
1644166591650	006e4e499ec7445208008105005505006605006905004705003905003905003105003405004005003405001e05002105003105003b05004205004c0500530500640500790500770500580500390500210500fa0400c304008e04005b0400290400fb0300dc0300cd0300bf0300ac0300a90300b10300b10300b10300b80300ba0300ba0300bf0300c90300c90300ba0300b50300b80300b30300a90300a70300a203009403008803008803007e03006d03005c03005503005503005003004903003d03003d03004003003803003103003103002c03001e03000f03000b0300030300080300			1644166588268	55	99
1644166592236	006d44aebfc744520800120300030300f30200fa02000b03001403001403000d03000b03000d03001403002c0300470300440300280300010300d60200a802008402006e02006002005102004302003902002b02001a02001302001802002602007f0200830300d10400360500d50300ca0000defeff4500002102004802003702007a02007f02006e02007d02007d02006c02006a02007802008202007a02006e0200780200950200aa0200b40200c50200d60200df0200ee0200fc0200fc0200e90200c702009c02007302004f02001f0200ec0100c80100b30100a20100910100940100			1644166588270	54	99
1644166592769	00a2b113e1c744520800a70100ae0100b00100b00100ae0100ae0100ac01009b01008c01009d0100a901009d01009d0100a00100980100960100980100960100940100960100a20100ae0100a90100a001009b01009601008f01008701008001007e01008001007701006f01007401007701006d01006301005f01005f01006301006601006601006801006b01006b01006d01006d01006b01006101005a01005f0100610100720100940100ae0100ac01009d01009101008701007701005f01004b01004901004701003d01002c01001b01000f01000a0100010100080100850100c50200			1644166588279	52	99
1644166593352	00a1a77802c8445208001804004804007a020039ffffe3fdffaaffff0f0100f700000a01004b01003f01002a01002a01002501002701003101003801003d01004701004e01005701006b01007701008301009d0100b00100c10100d70100ea0100f60100ec0100de0100c80100a401007401002c0100e40000c00000a300007f0000710000730000710000750000970000b10000b90000cc0000da0000da0000e20000da0000c70000b100009700007d00006e00006700005d00004f00004500004c00005b00006200006000006000006500007800009000009200008600008900008d0000			1644166588287	51	99
1644166593889	00a09ddd23c844520800990000af0000b40000a300009c00009e00009700009500009500008d00007f00007a00008600009c0000b10000c00000b90000a100009000008100007300007300007100006e00007f00008900007d00007a0000750000670000710000bb0000960100fa0200c90300c00200a8fffffffcffd3fdfff9ffff7f0000810000c70000c00000a30000b40000c20000c70000cc0000c70000c50000c70000ce0000dd0000e60000ee0000fe00001601003301005001007201008c0100a20100b80100c40100b801008701003d0100f70000aa00006200002b0000040000			1644166588297	50	99
1644166594425	00d50a4345c844520800edffffe1ffffdfffffebfffffeffff0e00001a00002400003900004c00005100004c00004a00004f00006000006e00006c00006500006500006200005d00006700006c00006c00007500007500007300007d00008100007f00008900009700009200008d00009200008600008600009700008400006700007300007800005b00005400007500008d00008d00008600007500006700006200006000006900006900006500007500008900008b00008400008600009c00009e0000d80000ef0100500300a703000e0200cafeff01fdff89feff2b0000300000400000			1644166588309	49	99
1644166595010	00d400a866c8445208008d0000840000810000a100009e0000aa0000ce0000df0000e20000dd0000d80000e60000ee0000f00000fe00001401001b01002201003801004b01005001004901002c0100fc0000bb00006c0000280000f2ffffc0ffff99ffff7fffff75ffff7affff7affff7cffff7fffff83ffff94ffffa0ffffacffffb4ffffb8ffffc0ffffc9ffffd8ffffe6ffffedffffedffffedfffff0fffff4fffff7fffff4fffff2fffff2ffff0000001000000c00000700001300001c00002100002600002b00002d00003700003e00003c00003700003900004300003e0000300000			1644166588322	48	99
1644166595646	00d3f60c88c8445208003400004000004c00005b00006c00006e00005100002b00002b00002d00002600002d00003000002800002b00003400003e00004a0000840000440100b90200000400bf0300fc000042fdffb4fcfff8fefff2ffffc9ffff0e00003700002b0000560000750000780000810000900000990000950000970000a30000a30000a10000aa0000bb0000c70000d10000f500001b01002a0100250100120100fe0000e20000b400008100003c0000feffffdcffffd5ffffd3ffffc0ffffa3ffffa3ffffafffffbbffffc9ffffd3ffffdcffffdcffffe4fffff4ffff040000			1644166588343	47	99
1644166596131	004a3c72a9c844520800090000edffffdcfffff2ffff000000f9fffff9fffff9fffffcfffff4ffffedfffff0ffffedffffedfffff2fffff0ffffe1ffffd0ffffdaffffe4ffffdaffffdaffffdcffffdaffffd8ffffccffffd5fffff2ffff0400000c00002400005600006e00005600004500004000004000004500004000003c00003000001c00000e0000f0ffffccffffc9ffff2800003d01005e02005b020081000053fdfff6fbffcbfdff88ffffa8ffffb6fffff9fffff7ffffedffff0900001300001800002d00003200003200003700003700004c0000670000710000810000950000			1644166588345	46	99
1644166596717	00075ad7cac844520800a10000af0000d10000e60000e20000e40000df0000a800007100005600003400000c0000f9fffff7ffffd8ffffbbffffc7ffffc9ffffc0ffffc0ffffc2ffffc4ffffccffffdfffffe6ffffc7ffffb8ffffd3ffffe8ffffedffffe8fffff2fffffeffff020000070000020000020000090000020000feffff0000000c00001300000c0000090000070000f7fffffcffff070000020000fefffff9fffff9ffff000000fcfffff4fffff0fffff7ffff000000f9fffff9fffffeffff0900002100002d00003900003000000c0000fcfffff9ffff000000090000070000			1644166588348	45	99
1644166597253	0006503cecc8445208000900001300001c00002600002600002b00006700004201009702002f03001f020062ffff09fdffd3fdfff0ffff7d0000650000990000ad00009200008b00008d00008100006c00006700007300007d0000750000730000780000840000990000a10000a30000c00000ce0000cc0000da0000e40000ce0000aa00008d00007500004c0000280000100000f9ffffedffffe1ffffdcffffdfffffdaffffdcffffe1ffffdaffffccffffc4ffffc2ffffc0ffffc2ffffc9ffffc7ffffb8ffffb8ffffc9ffffceffffc9ffffc9ffffd0ffffd0ffffd5ffffdcffffdaffff			1644166588358	45	99
1644166597789	000546a10dc944520800e1ffffebffffd8ffffccffffd5ffffd3ffffd0ffffceffffccffffceffffc7ffffc0ffffc9ffffd5ffffdcffffe6ffffe1ffffd8ffffe1ffffe8ffffe1ffffdfffffe6fffff4ffff090000130000070000f4ffffe6ffffe6fffff2fffff9fffffeffff020000020000040000070000fefffff9ffff3700001601006c0200eb02008a010087feff52fcff42fdff2fffffb4ffffccffff0c00000c0000fcffff0c00001800001a00001a00002400003700004300004c00006700007a00007a0000890000a50000bb0000ce0000e60000ee0000e60000e60000e60000			1644166588366	44	99
1644166598379	00003c062fc944520800ca0000970000730000560000210000f7ffffdaffffb1ffff9bffffa0ffff9bffff8fffff8fffff99ffff97ffff8bffff83ffff8fffff99ffff99ffff97ffff9bffffa8ffffafffffacffffafffffb4ffffb4ffffb6ffffc0ffffc0ffffb1ffffafffffafffffafffffb4ffffb4ffffbbffffc7ffffceffffd8ffffe6ffffebffffe1ffffd8ffffceffffc0ffffc4ffffd8ffffd5ffffdaffff070000130000e6ffffdaffff0400001a00000e00000900001800001f00001800001a00001c0000130000560000550100b902006103004d020047ffffd6fcffbdfdff			1644166588377	43	99
