ECGTimestamps	ECGString	HRTimestamps	HRvalue	OXYTimestamps	PPGvalue	SpO2value
1644311107593	00e537b5184845520800d30c00311800c01d000e21008d2500c72800d22a00252d00292f009e3000183200923300b83400a93500983600693700123800b33800493900ea39001c3b000f3d00a63e00823e00c73b00ae3800313900813b00fc3b00d13b00313c00553c003d3c003f3c00473c00533c00443c00123c00fe3b00f23b00d13b00bd3b00ac3b00973b00883b00693b003e3b00233b00103b00e53a00b23a00713a00153a00bf39005e3900e13800613800e23700543700cd3600633600133600c63500663500083500c434007a3400343400f53300763300f83200bc3200793200	1644311107244	62	1644311106945	90	99
1644311108179	001aa51a3a48455208001b3200d23100943100383100d13000843000283000b72f00762f004a2f00cb2e003a2e00f42d00a72d00362d00e22c00992c00372c00d62b00762b00052b00ae2a005c2a00eb29008f2900512900092900af2800392800cb27008227003c2700d726007426002c2600da25007c2500322500e72400842400262400d923008f23003d2300df2200862200452200fa21009a21005121001c2100e02000a120004d2000d71f00741f002c1f00d31e008f1e005d1e00061e00a61d00621d00241d00d91c00931c004b1c00fb1b00e61b008e1c00ff1d00ed1e00d81d00	1644311108218	62	1644311106961	89	99
1644311108807	004f12805b4845520800371a00b216001417001d19003a1900d41800001900c618005a18003f1800111800d01700b317006e1700041700cf1600af1600861600651600341600ff1500e71500d41500b71500a115008015003c1500021500d71400911400331400ce1300511300d41200651200091200bf11007611003a11000c1100d51000a510008310006110003b1000141000e60f00bb0f009c0f007a0f004a0f001c0f00fd0e00db0e00ab0e008c0e00710e00480e001a0e00f60d00d00d00a70d00850d00660d00380d000d0d00eb0c00ce0c00ac0c00880c00640c00420c00280c00	1644311109246	62	1644311106977	87	99
1644311109251	00baf6e57c48455208000b0c00e70b00c50b00a30b00860b00690b003c0b00130b00fd0a00e00a00bc0a00a60a00910a006f0a00500a002e0a00030a00ef0900f90900fb0900ea0900c40900880900530900310900190900080900ee0800d30800c50800b108009008007a08006908005108003b08005f0800420900f30a00280c001f0b004d07000b04000305003207004807001107006507004f0700130700210700260700090700fb0600f80600ef0600e80600e80600e30600d90600d20600d70600e30600ef06000007000e07000e0700090700f80600d40600ab0600740600160600	1644311110219	62	1644311106980	86	99
1644311109832	00ef634b9e4845520800ac05005d0500250500ee0400c00400a304008604006c04006204006704006004005404004004003704003704003904003704002d04002804002d04002b04001704001004001504000e0400fd0300f30300f60300ec0300d40300c10300ad03009f03009303008c03008003007103006803006803006303005403004603004303004803003a03002603002203002603001d03001603000c0300fe0200fe0200fe0200f10200e80200e80200dc0200c90200c10200ba0200ac0200b00200cb0200dc0200d90200cd0200ac02008002006f02006d0200660200680200	1644311111243	62	1644311106988	84	99
1644311110372	005a48b1bf48455208006802005c02005c02005f02005a02005502004e0200490200740200410300c70400fe05006b0500330200ddfeff5fffffaf0100110200bb0100010200190200f50100010200080200f701000802001b02000f02000502001602002a0200310200420200570200660200790200940200ae0200bf0200c60200c10200b502009d0200740200380200f50100af01007201004a01002f0100190100010100f30000f80000010100fa0000e90000f000000101000401000101000801000801000401000b01001901001701001501001701001701001c0100190100120100	1644311112216	62	1644311106995	83	99
1644311110955	00c52c17e148455208001201001201001201000b0100f80000f00000e70000d30000cf0000cc0000c50000c70000cf0000cf0000cf0000c70000bb0000c00000c50000c00000c00000cc0000cc0000cc0000ca0000c70000ca0000cf0000ca0000c50000c50000ca0000c50000b70000b90000d30000f00000fa0000f00000d10000c00000be0000af0000a80000af0000b40000af0000a80000af0000af00009500008b00009a0000bb00006e01000703008d04005d0400660100a9fdff7bfdffdfffffa60000540000920000bb00009c0000ab0000be0000b20000bb0000d30000db0000	1644311113240	63	1644311106999	81	99
1644311111543	00fa997c024945520800cf0000d60000f00000fa00000101001901003101004701005f01007001007c01008f01009e0100920100720100510100210100e400009e00005d00002b0000090000fcfffff4ffffedffffe8fffff0fffff9ffff0000000000000400000400000000000c00002100002d00003000002800002100002400002d00002800002600002b00002d00003200003200002b00002b00003200002800001f00002600003000002d00002600001f00002100002800002600002600002400001500001800002600002600002100002600002600002100002600003200002d0000	1644311114214	63	1644311107002	80	99
1644311112073	002f07e22349455208001000000e00001f00002400003900006700007300005b00004d00004100002600001500001500001a00002100002100001f00002b00003900003700002b00002800006700005d0100220300780400a40300f2ffff9bfcff89fdffe4ffff210000edffff4500004800002600005400007600006700005100005b00007800009500009e00008e0000900000bb0000d80000e400000b01003401004e01006901007701005801002d01002d0100190100d100008900004a00001f0000000000ccffff99ffffa5ffffc4ffffbdffffb6ffffd5ffffe1ffffbfffffbbffff	1644311115287	64	1644311107012	78	99
1644311112610	009aeb47454945520800e6fffff0ffffe4fffff9ffff070000070000260000320000f9ffffe6ffff150000150000f7ffff040000150000040000feffff040000020000020000070000f7ffffe4fffff2ffff070000fefffff4fffff4fffff7fffffcfffff4ffffdfffffdcfffff4ffff000000f9fffffeffff090000f4ffffdffffff9ffff070000dfffffdfffff100000180000e8ffffd5ffff070000450000560000370000180000240000260000ebffffd5ffff000000070000f4ffff0000000c00000c00001300001f00001f00001f0000900000fc01008c0300c10300860100b5fdff	1644311116212	65	1644311107021	76	99
1644311113193	00cf58ad6649455208008ffcffdffeff450000ebfffffeffff4d00001a00000000001c00001c00002400003900003400004f00008400008b0000820000950000ab0000b70000c00000d60000f800001901002d0100310100340100280100010100cc00009200004d0000040000d3ffffb3ffff9bffff92ffff8dffff8affff8dffff94ffff9bffffaaffffafffffafffffb6ffffbfffffbfffffc4ffffceffffdaffffdfffffe1ffffe8fffff0ffffebffffebfffff0fffff4fffff9fffff4ffffebffffe6ffffe6ffffdfffffd8ffffdfffffebffffebffffe8ffffe4ffffdfffffe1ffff	1644311117236	66	1644311107034	75	99
1644311113779	003a3d13884945520800e8ffffe6ffffdcffffd0ffffccffffd5ffffdaffffd5ffffd0ffffc9ffffb8ffffbfffffdcfffff0fffffeffff000000dfffffbfffffc2ffffd0ffffd5ffffd0ffffd0ffffdaffffe1ffffdcffffdcffffe4ffffe6fffff4ffff840000110200f60300700400d8010068fdff2ffcff9afeffd8ffff8fffffdcffff280000feffff0000002100001c00001c00002d00003900004a00005600005600006000007f00009e0000b40000cf0000f300001701003601004c01005301004e01003b0100150100d80000820000210000d5ffffa5ffff83ffff66ffff55ffff	1644311118215	66	1644311107045	73	99
1644311114314	00a52179a9494552080053ffff58ffff5dffff5dffff66ffff77ffff72ffff6bffff7affff83ffff88ffff97ffffa3ffff9bffff9effffacffffb3ffffbbffffc2ffffbfffffbfffffc7ffffc9ffffc7ffffc9ffffc7ffffc2ffffc4ffffc9ffffc2ffffbdffffc2ffffc4ffffc9ffffccffffc9ffffc9ffffc4ffffbbffffbdffffceffffdcffffe6ffff000000090000f0ffffd5ffffceffffccffffd3ffffd8ffffd5ffffd8ffffdfffffdcffffe1ffffe4ffffd8ffff0200000d0100180300c70400fa0300b8ffff14fcff54fdffb8ffffb1ffff8afffffefffff4ffffd0fffff4ffff	1644311119240	67	1644311107067	71	99
1644311114900	00da8edeca4945520800fcfffff0ffff0200001000001300002100003900004a00005b0000690000730000890000b20000d80000f500001201002501002101000d0100f00000b40000650000130000ceffff9bffff77ffff5affff51ffff4effff4cffff53ffff5affff5fffff66ffff70ffff75ffff7affff83ffff92ffffa0ffffaaffffacffffafffffbdffffc7ffffc9ffffceffffd0ffffd0ffffccffffc9ffffccffffceffffccffffc7ffffc2ffffc4ffffc7ffffc7ffffccffffceffffccffffc9ffffd0ffffd3ffffccffffc4ffffc7ffffc9ffffceffffd5ffffd5ffffd3ffff	1644311120260	67	1644311107072	70	99
1644311115436	00457344ec4945520800c9ffffbbffffb8ffffc4ffffd3ffffe4fffff4ffff020000fcffffdfffffceffffd0ffffceffffc2ffffc2ffffccffffceffffceffffceffffc9ffffc7ffffd5ffff560000bd01008203003404000a0200a1fdff12fcff89fefffeffff8dffffafffff040000e1ffffdafffffefffffefffff9ffff0900001300001500002100003700004800005900006e0000890000a80000c30000db0000f300000b0100170100100100f80000d100009c00004f0000feffffbfffff94ffff7affff66ffff58ffff51ffff53ffff5dffff66ffff6effff72ffff7cffff81ffff	1644311121285	66	1644311107079	68	99
1644311115971	00b057aa0d4a4552080081ffff8dffff9bffffa0ffffa3ffffaaffffb3ffffbbffffbfffffbbffffb1ffffafffffb6ffffb8ffffbbffffbdffffb8ffffb1ffffb1ffffb8ffffbdffffbdffffbdffffbdffffbbffffbdffffc2ffffc7ffffc7ffffc4ffffc7ffffc9ffffc7ffffc9ffffd0ffffccffffc7ffffccffffd0ffffd0ffffd3ffffd0ffffc2ffffbdffffbfffffc7ffffdcfffff9ffff0900000c0000f2ffffceffffc2ffffc7ffffc7ffffc4ffffccffffd3ffffd3ffffceffffccffffceffffccffffc9ffff130000250100dc0200f10300c10200dffeff08fcff95fdffccffff	1644311122258	67	1644311107113	67	99
1644311116558	00e5c40f2f4a45520800b6ffff8afffff4fffff4ffffd5fffff4fffff4ffffdfffffedffff0000000400001000002400003200004500005b00006e0000860000a30000be0000d80000ee0000f30000e90000e00000ca00009a0000590000130000d5ffffa7ffff83ffff69ffff58ffff51ffff51ffff58ffff5fffff64ffff66ffff72ffff7effff83ffff88ffff8dffff92ffff92ffff97ffffa0ffffa7ffffaaffffafffffafffffafffffb3ffffafffffacffffb1ffffb1ffffacffffaaffffacffffb1ffffb1ffffafffffb1ffffb6ffffbbffffbfffffbdffffbdffffbfffffbfffff	1644311123284	68	1644311107117	65	99
1644311117092	0050a975504a45520800bfffffc2ffffc4ffffc4ffffbfffffc2ffffccffffd0ffffd0ffffc4ffffafffffacffffbfffffc2ffffafffffaaffffb1ffffb3ffffb3ffffb1ffffb6ffffd0fffff2ffff020000f9ffffdaffffbfffffbfffffbdffffb3ffffb8ffffc4ffffc4ffffb8ffffb1ffffb6ffffbdffffbfffffbfffffe6ffffc000009602002b0400ad03000c000038fcffcdfcff4cffff9bffff5dffffd0ffffe1ffffb3ffffdafffff0ffffdcffffe6fffffeffff0200001000002400003000003e00005400006c00008400009e0000b90000d30000e90000f50000f80000f30000	1644311124258	69	1644311107122	64	99
1644311117678	008516db714a45520800dd0000b20000760000300000edffffafffff75ffff4effff3dffff36ffff34ffff39ffff40ffff45ffff49ffff55ffff64ffff70ffff7cffff81ffff88ffff92ffff99ffffa0ffffa7ffffaaffffaaffffafffffacffffa3ffffa0ffffa7ffffa5ffff9effffa3ffffaaffffaaffffa5ffffa3ffffa5ffffa7ffffacffffafffffb6ffffb6ffffb1ffffb6ffffbdffffbdffffb6ffffb3ffffb8ffffb8ffffbbffffbdffffbdffffbfffffc2ffffc4ffffc4ffffc9ffffc9ffffc7ffffc2ffffbfffffbdffffb8ffffcefffff7ffff070000f4ffffd5ffffc7ffff	1644311125235	69	1644311107127	63	99
1644311118215	005ce941934a45520800bfffffafffffafffffbbffffbfffffbfffffc2ffffbfffffc2ffffc7ffffbbffffafffffd0ffff7600000f0200d10300f30300040100dafcff66fcfffcfeffdaffff6effffb1ffffedffffc2ffffccfffff0ffffe8ffffe4fffff7ffff0400001000001f00002b00003900004800005600007300009a0000bb0000d10000e00000e90000ec0000ec0000d60000a80000780000390000f0ffffb6ffff94ffff72ffff5affff51ffff53ffff58ffff5affff62ffff66ffff66ffff72ffff88ffff8fffff8fffff99ffffa3ffffa0ffffa7ffffb6ffffbbffffbdffff	1644311126260	70	1644311107139	62	99
1644311118852	002568a6b44a45520800bdffffbdffffc2ffffc4ffffbdffffb8ffffaaffff9bffff97ffffa3ffffa7ffffa5ffffa5ffffa3ffffa7ffffaaffffa3ffffa3ffffaaffffa7ffffa5ffffacffffb3ffffb1ffffacffffa7ffffa7ffffacffffb1ffffb3ffffb8ffffb8ffffb6ffffb8ffffbfffffbfffffbbffffb8ffffb8ffffb3ffffbbffffd3fffff2ffff070000070000ebffffd3ffffd0ffffceffffbfffffbfffffc7ffffceffffd3ffffceffffc4ffffccffffd5ffffd8fffff2ffff970000200200ab0300ab0300dd0000f4fcff98fcff1efffff4ffff8fffffdcffff090000d5ffff	1644311127232	70	1644311107149	61	99
1644311119336	00904c0cd64a45520800e6ffff0900000000000000001300001a00001c00003200003c00003900004500006000007600008400009c0000c00000d30000cc0000c70000c50000ad00009500007300002d0000e8ffffbdffff92ffff69ffff51ffff47ffff45ffff4cffff55ffff55ffff55ffff62ffff6bffff75ffff81ffff8fffff8fffff8dffff8dffff8dffff88ffff92ffffa3ffffa3ffff9effff99ffff94ffff94ffff94ffff94ffff8fffff88ffff94ffff9effff97ffff8fffff92ffff9effffa5ffff9bffffa3ffffbbffffb8ffffb1ffffb3ffffaaffffaaffffbbffffb8ffff	1644311128255	70	1644311107168	60	99
1644311119872	00c5b971f74a45520800a7ffffa5ffffa7ffffaaffffb3ffffccffffdfffffdfffffccffffb3ffffa3ffffaaffffafffffacffffb6ffffbfffffbdffffb6ffffbdffffc7ffffc2ffffd8ffff730000080200db03002604005a010002fdff1bfcff9cfeffafffff64ffffc7ffff000000d0ffffedffff0c0000f4fffff7ffff0e00001500001800002800003c00004d0000620000730000860000a60000ca0000ee00000801001001001001000b0100f30000c70000920000480000f9ffffb3ffff86ffff66ffff47ffff2fffff31ffff36ffff2dffff2dffff39ffff3dffff47ffff5fffff	1644311129230	70	1644311107173	59	99
1644311120457	00309ed7184b455208006bffff70ffff7affff7affff6effff72ffff83ffff8dffff92ffff9bffff9bffff99ffff97ffff8affff83ffff88ffff83ffff83ffff8fffff94ffff92ffff9bffffa5ffffa3ffff97ffff8dffff83ffff86ffff8dffff94ffffa3ffffbbffffccffffbdffff9effff97ffffa3ffffa5ffffa5ffffa7ffffacffffafffffb3ffffb6ffffbbffffb6ffffd3ffffb40000a40200640400ee03001000002cfcfff2fcff75ffff9effff55ffffccffffdaffffaaffffc4ffffd8ffffd0ffffdcfffff0fffff7ffff0700001a00002100003200004a0000620000820000	1644311130253	69	1644311107176	58	99
1644311121042	00650b3d3a4b45520800a10000b70000d60000f50000f80000ee0000e00000b700007a00003c0000f2ffffafffff7effff55ffff39ffff2dffff23ffff23ffff2affff2fffff34ffff3dffff4effff5dffff66ffff72ffff7affff7cffff8affff94ffff97ffff99ffff97ffff9bffffa5ffffa5ffffa0ffffa5ffffa7ffffa3ffffa0ffffa7ffffacffffacffffacffffafffffafffffafffffacffffaaffffaaffffaaffffa5ffff94ffff8affff99ffffacffffb8ffffc7ffffdcffffdaffffb8ffffa7ffffb1ffffb3ffffb1ffffb8ffffbfffffbdffffbdffffbfffffc4ffffc2ffff	1644311131229	68	1644311107178	57	99
1644311121579	00483fa35b4b45520800ceffff6c0000010200bc0300f803002a0100dcfcff38fcffdffeffd8ffff55ffff92ffffd8ffffacffffafffffd0ffffceffffd0ffffe6fffff0fffff9ffff0c00001f00002d00004100005600006c0000890000ab0000c50000dd0000ee0000e40000d30000c00000970000590000130000ceffff8fffff64ffff4cffff3dffff31ffff2fffff31ffff2fffff36ffff40ffff47ffff5affff6effff70ffff77ffff86ffff88ffff88ffff92ffff99ffff9bffffa0ffffa0ffffa0ffffa3ffffa7ffffacffffacffffa5ffffa0ffffa7ffffaaffffa3ffffa0ffff	1644311132255	68	1644311107193	56	99
1644311122163	003bd4087d4b45520800a3ffffa5ffffa5ffffaaffffb1ffffb3ffffacffffa0ffff9bffffa5ffffaaffffa0ffff97ffff92ffff99ffffa7ffffb8ffffd3ffffedffffe1ffffbfffffafffffb3ffffb8ffffbbffffbfffffbfffffbfffffc4ffffc9ffffc9ffffbfffffc7ffff480000b801006f0300ea03008f01004dfdff0dfcff92feffedffff75ffff99fffff0ffffc4ffffbdffffe6ffffe4ffffd8ffffe8fffff9fffffcffff0200001300002400003700004f00006200007a0000970000ad0000c00000ca0000ca0000c00000ad00008b0000590000180000d3ffff97ffff70ffff	1644311133227	67	1644311107203	56	99
1644311122700	0070416e9e4b4552080053ffff40ffff39ffff36ffff36ffff3dffff47ffff51ffff5dffff62ffff5fffff5fffff64ffff6effff77ffff86ffff88ffff88ffff8dffff94ffff99ffff92ffff8affff8affff92ffff97ffff92ffff8dffff97ffff99ffff94ffff8dffff8dffff92ffff9bffff9bffff99ffff99ffffa0ffffa5ffffa3ffffa3ffffafffffb3ffffa7ffffa5ffffb3ffffb3ffffa5ffffa5ffffacffffa5ffffa0ffffafffffbfffffc7ffffdaffffe4ffffd0ffffb3ffffacffffb6ffffb8ffffbbffffc2ffffbdffffbdffffc7ffffc9ffffccffffd0fffff4ffffca0000	1644311134251	67	1644311107225	55	99
1644311123331	00fb11d4bf4b45520800a002004a0400e0030039000038fcffa5fcff2affff83ffff53ffffdaffffe6ffffacffffd8fffff0ffffdafffff0ffff0700000200000900001f00002b0000390000540000650000710000890000ab0000c30000db0000ee0000e70000ca0000b700009c00005b0000040000bdffff86ffff55ffff36ffff20ffff12ffff14ffff23ffff23ffff20ffff28ffff36ffff45ffff55ffff5fffff66ffff70ffff7affff81ffff81ffff86ffff8dffff8fffff92ffff92ffff8fffff94ffff97ffff92ffff8fffff94ffff97ffff9bffffa0ffffa3ffff9effff9bffff	1644311135226	66	1644311107228	54	99
1644311123821	00109339e14b45520800a0ffffaaffffacffffa5ffffa3ffffa5ffffacffffb1ffffb1ffffa7ffff94ffff83ffff8affffa0ffffacffffb3ffffc4ffffd0ffffbdffffa3ffff9effffa5ffffa5ffffa3ffffacffffb1ffffb6ffffbdffffbfffffbbffffb8ffffd8ffff9a00006102002f0400260400d3000083fcff61fcff08ffffafffff5affffc4ffffebffffbbffffceffffebffffe6fffff0fffffeffff0400001000001f00002d00004100005400006700007f00009c0000b40000d10000e20000e40000e00000d60000bb00008b00004d0000020000b3ffff7affff58ffff42ffff	1644311136298	65	1644311107234	53	99
